# ================================================================
# FITS HEADER INFO for GJ876
# Extracted from: GJ876_Hband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 8523616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 213080D  / 
# TDIM3      = (21308,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 213080D  / 
# TDIM4      = (21308,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 213080D  / 
# TDIM5      = (21308,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 213080K  / 
# TDIM6      = (21308,10)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 213080D  / 
# TDIM7      = (21308,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 6822463  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 376A  / 
# TDIM2      = (8,47)  / 
# TTYPE3     = wave  / 
# TFORM3     = 213190D  / 
# TDIM3      = (21319,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 213190D  / 
# TDIM4      = (21319,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 213190D  / 
# TDIM5      = (21319,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 213190K  / 
# TDIM6      = (21319,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 780017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 19500D  / 
# TDIM2      = (1950,10)  / 
# TTYPE3     = flux  / 
# TFORM3     = 19500D  / 
# TDIM3      = (1950,10)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 19500D  / 
# TDIM4      = (1950,10)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 19500D  / 
# TDIM5      = (1950,10)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 19500D  / 
# TDIM6      = (1950,10)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.428722  0.267168
1.428735  1.293252
1.428747  0.933804
1.428812  0.975270
1.428824  1.071508
1.428889  1.165498
1.428901  1.065353
1.428965  1.055751
1.428978  1.081185
1.429029  0.857390
1.429042  0.825907
1.429121  0.445905
1.429132  0.432172
1.429145  0.291857
1.429157  0.343831
1.429170  0.419515
1.429193  0.458839
1.429292  1.272742
1.429305  1.346881
1.429318  1.422817
1.429331  1.403562
1.429347  1.385676
1.429363  1.360094
1.429376  1.390216
1.429388  1.469415
1.429401  1.466492
1.429417  1.452441
1.429433  1.430997
1.429446  1.389086
1.429459  1.381354
1.429472  1.372844
1.429485  1.366446
1.429498  1.368037
1.429511  1.338384
1.429523  1.322160
1.429536  1.268716
1.429549  1.254746
1.429562  1.259450
1.429579  1.316174
1.429594  1.323886
1.429609  1.314770
1.429626  1.355433
1.429639  1.372765
1.429652  1.378824
1.429665  1.371581
1.429678  1.384455
1.429691  1.323834
1.429703  1.302388
1.429768  1.123345
1.429781  1.284753
1.429833  1.426523
1.429845  1.398409
1.429858  1.413405
1.429871  1.395362
1.429884  1.404727
1.429897  1.398333
1.429910  1.405821
1.429922  1.350218
1.429935  1.317991
1.429948  1.295022
1.429961  1.256399
1.429974  1.175471
1.429998  1.260315
1.430103  0.305593
1.430203  0.933549
1.430210  1.378764
1.430226  1.311431
1.430239  1.323259
1.430252  1.354604
1.430265  1.377362
1.430277  1.412264
1.430290  1.376539
1.430303  1.398795
1.430316  1.426268
1.430333  1.460143
1.430348  1.428403
1.430361  1.409198
1.430374  1.450561
1.430390  1.454879
1.430407  1.478682
1.430420  1.433798
1.430433  1.454307
1.430446  1.486530
1.430458  1.441518
1.430471  1.478006
1.430484  1.406313
1.430497  1.438696
1.430510  1.455564
1.430523  1.454615
1.430536  1.427251
1.430549  1.431449
1.430562  1.437800
1.430575  1.450539
1.430592  1.514761
1.430609  1.476046
1.430627  1.522496
1.430640  1.510555
1.430653  1.554875
1.430666  1.540271
1.430679  1.517645
1.430692  1.517296
1.430704  1.556891
1.430717  1.465820
1.430730  1.488729
1.430743  1.408097
1.430756  1.511135
1.430769  1.442428
1.430782  1.350362
1.430795  1.420898
1.430812  1.336178
1.430828  1.354934
1.430841  1.372287
1.430854  1.373008
1.430869  1.361797
1.430886  1.401212
1.430899  1.383679
1.430912  1.407741
1.430925  1.434188
1.430938  1.546898
1.430951  1.476233
1.430964  1.481466
1.430977  1.416532
1.430990  1.398593
1.431003  1.299274
1.431061  0.791553
1.431074  0.775876
1.431087  0.756210
1.431100  0.751554
1.431113  0.763995
1.431126  0.885209
1.431142  0.788742
1.431158  0.768425
1.431172  0.951139
1.431185  0.946708
1.431198  0.889277
1.431211  0.787362
1.431267  0.531834
1.431280  0.400555
1.431413  0.390767
1.431424  0.447486
1.431442  0.717559
1.431490  0.939368
1.431503  1.056529
1.431516  1.045103
1.431569  0.882868
1.431608  1.069939
1.431621  1.085028
1.431634  1.116328
1.431647  1.112873
1.431660  1.154346
1.431705  0.626218
1.431713  0.474144
1.431804  0.018350
1.431895  0.742474
1.431908  0.815119
1.431921  0.878194
1.431938  0.820975
1.431953  0.988431
1.432023  0.350343
1.432048  0.329602
1.432104  0.765475
1.432117  0.796672
1.432130  0.888417
1.432143  0.847867
1.432153  0.888271
