# ================================================================
# FITS HEADER INFO for GL555
# Extracted from: GL555_Hband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 8523616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 213080D  / 
# TDIM3      = (21308,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 213080D  / 
# TDIM4      = (21308,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 213080D  / 
# TDIM5      = (21308,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 213080K  / 
# TDIM6      = (21308,10)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 213080D  / 
# TDIM7      = (21308,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 6821855  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 213170D  / 
# TDIM3      = (21317,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 213170D  / 
# TDIM4      = (21317,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 213170D  / 
# TDIM5      = (21317,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 213170K  / 
# TDIM6      = (21317,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 780017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 19500D  / 
# TDIM2      = (1950,10)  / 
# TTYPE3     = flux  / 
# TFORM3     = 19500D  / 
# TDIM3      = (1950,10)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 19500D  / 
# TDIM4      = (1950,10)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 19500D  / 
# TDIM5      = (1950,10)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 19500D  / 
# TDIM6      = (1950,10)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.428446  -0.046573
1.428459  0.040730
1.428475  -0.001669
1.428486  0.088541
1.428503  0.305442
1.428516  0.327964
1.428529  0.302807
1.428580  0.288607
1.428593  0.343440
1.428605  0.354828
1.428669  0.362239
1.428680  0.364435
1.428695  0.317768
1.428734  0.336258
1.428746  0.372043
1.428759  0.390665
1.428810  0.284876
1.428902  0.136505
1.428913  0.113408
1.428926  0.086362
1.428938  0.103799
1.428951  0.124787
1.428964  0.132370
1.428977  0.157706
1.429086  0.394863
1.429099  0.404997
1.429115  0.426993
1.429131  0.414346
1.429144  0.418977
1.429156  0.411755
1.429169  0.426247
1.429182  0.446067
1.429198  0.445431
1.429214  0.435978
1.429227  0.436860
1.429240  0.439232
1.429253  0.438738
1.429266  0.445768
1.429279  0.438512
1.429291  0.424368
1.429304  0.419981
1.429319  0.461842
1.429330  0.417798
1.429347  0.390711
1.429362  0.385701
1.429375  0.385543
1.429390  0.398335
1.429407  0.413607
1.429420  0.411426
1.429433  0.412479
1.429446  0.409992
1.429459  0.404539
1.429536  0.307506
1.429601  0.405001
1.429613  0.387050
1.429626  0.424358
1.429639  0.425885
1.429652  0.428298
1.429665  0.418698
1.429678  0.417995
1.429690  0.428253
1.429703  0.428634
1.429716  0.416707
1.429729  0.402269
1.429742  0.383876
1.429766  0.424961
1.429971  0.276934
1.429981  0.342339
1.429994  0.357015
1.430007  0.369589
1.430020  0.380124
1.430033  0.388522
1.430046  0.403983
1.430058  0.410392
1.430071  0.405729
1.430084  0.414157
1.430097  0.430648
1.430114  0.432519
1.430129  0.421926
1.430142  0.419407
1.430158  0.437127
1.430175  0.423852
1.430188  0.424513
1.430201  0.428960
1.430214  0.435548
1.430226  0.440982
1.430239  0.443496
1.430252  0.446686
1.430265  0.449248
1.430278  0.455302
1.430291  0.445772
1.430304  0.437489
1.430317  0.443359
1.430330  0.449106
1.430343  0.448998
1.430360  0.439635
1.430376  0.461648
1.430391  0.473846
1.430408  0.469766
1.430421  0.470358
1.430434  0.466148
1.430447  0.461083
1.430459  0.460619
1.430472  0.455338
1.430485  0.445453
1.430498  0.441099
1.430511  0.439892
1.430524  0.438652
1.430537  0.432359
1.430550  0.435289
1.430567  0.438775
1.430583  0.438989
1.430596  0.450861
1.430609  0.457836
1.430622  0.458310
1.430635  0.457425
1.430648  0.456389
1.430664  0.465992
1.430680  0.463404
1.430693  0.467583
1.430706  0.468268
1.430719  0.467330
1.430732  0.458167
1.430745  0.451964
1.430758  0.442640
1.430769  0.439794
1.430780  0.456342
1.430842  0.222712
1.430868  0.231295
1.430881  0.231946
1.430894  0.261512
1.430933  0.259872
1.430945  0.253483
1.430963  0.322627
1.430991  0.261843
1.430999  0.306578
1.431037  0.248039
1.431050  0.203807
1.431128  0.024589
1.431193  0.149300
1.431207  0.149867
1.431220  0.215020
1.431260  0.322678
1.431272  0.316365
1.431285  0.337419
1.431298  0.325294
1.431389  0.336812
1.431402  0.350651
1.431415  0.355719
1.431428  0.340580
1.431487  0.145700
1.431500  0.140663
1.431572  0.008098
1.431584  0.007615
1.431601  0.028683
1.431676  0.281705
1.431692  0.308323
1.431706  0.341031
1.431722  0.326213
1.431735  0.336456
1.431800  0.106835
1.431885  0.250376
1.431898  0.280793
1.431911  0.289648
1.431924  0.264941
