# ================================================================
# FITS HEADER INFO for GL745A
# Extracted from: GL745A_Hband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 8523616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 213080D  / 
# TDIM3      = (21308,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 213080D  / 
# TDIM4      = (21308,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 213080D  / 
# TDIM5      = (21308,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 213080K  / 
# TDIM6      = (21308,10)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 213080D  / 
# TDIM7      = (21308,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 6820255  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 213120D  / 
# TDIM3      = (21312,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 213120D  / 
# TDIM4      = (21312,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 213120D  / 
# TDIM5      = (21312,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 213120K  / 
# TDIM6      = (21312,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 780017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 19500D  / 
# TDIM2      = (1950,10)  / 
# TTYPE3     = flux  / 
# TFORM3     = 19500D  / 
# TDIM3      = (1950,10)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 19500D  / 
# TDIM4      = (1950,10)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 19500D  / 
# TDIM5      = (1950,10)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 19500D  / 
# TDIM6      = (1950,10)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.428589  0.000324
1.428603  0.001057
1.428616  0.000336
1.428623  0.000068
1.428648  0.223312
1.428660  0.204560
1.428700  0.215900
1.428712  0.237529
1.428724  0.265178
1.428796  0.234466
1.428811  0.272790
1.428852  0.277303
1.428865  0.272677
1.428878  0.274269
1.428942  0.223573
1.429031  0.123114
1.429044  0.097093
1.429057  0.083244
1.429070  0.104660
1.429083  0.123484
1.429096  0.130530
1.429205  0.276668
1.429218  0.297564
1.429231  0.300575
1.429247  0.313929
1.429262  0.311271
1.429275  0.305323
1.429288  0.307251
1.429301  0.306292
1.429314  0.313981
1.429327  0.323938
1.429343  0.321611
1.429359  0.321135
1.429372  0.316154
1.429385  0.319278
1.429398  0.317243
1.429410  0.313043
1.429423  0.310634
1.429436  0.304853
1.429449  0.305450
1.429462  0.307151
1.429475  0.304769
1.429491  0.290264
1.429507  0.286098
1.429522  0.283967
1.429539  0.300660
1.429552  0.302774
1.429565  0.301687
1.429578  0.298917
1.429590  0.295522
1.429603  0.281014
1.429668  0.246020
1.429741  0.291558
1.429758  0.303437
1.429771  0.314935
1.429784  0.313113
1.429796  0.310838
1.429809  0.311436
1.429822  0.309762
1.429835  0.309089
1.429848  0.309634
1.429861  0.300256
1.429874  0.288222
1.429898  0.313198
1.430003  0.104527
1.430103  0.241264
1.430111  0.258027
1.430126  0.273107
1.430139  0.282264
1.430152  0.288063
1.430164  0.290775
1.430177  0.298754
1.430190  0.301966
1.430203  0.304415
1.430216  0.306043
1.430229  0.307932
1.430246  0.317348
1.430261  0.310985
1.430274  0.310545
1.430287  0.311979
1.430303  0.319456
1.430320  0.310786
1.430333  0.307965
1.430345  0.309984
1.430358  0.313760
1.430371  0.316501
1.430384  0.314789
1.430397  0.316107
1.430410  0.317331
1.430423  0.324585
1.430436  0.320800
1.430449  0.317891
1.430462  0.324263
1.430475  0.322784
1.430488  0.324146
1.430505  0.324581
1.430523  0.333172
1.430540  0.333812
1.430553  0.335023
1.430566  0.331138
1.430578  0.329153
1.430591  0.329004
1.430604  0.326413
1.430617  0.326039
1.430630  0.320068
1.430643  0.321155
1.430656  0.319196
1.430669  0.317932
1.430682  0.318925
1.430695  0.318749
1.430712  0.320080
1.430728  0.321371
1.430741  0.325973
1.430754  0.332281
1.430767  0.328787
1.430780  0.326127
1.430796  0.333505
1.430812  0.328818
1.430825  0.330948
1.430838  0.334895
1.430851  0.339577
1.430864  0.333378
1.430877  0.325809
1.430890  0.317208
1.430899  0.333618
1.430961  0.177672
1.430974  0.174079
1.430985  0.195953
1.431000  0.179983
1.431013  0.186129
1.431026  0.206427
1.431039  0.217817
1.431052  0.197619
1.431065  0.204381
1.431078  0.226389
1.431095  0.241492
1.431122  0.206101
1.431169  0.184264
1.431182  0.156733
1.431325  0.130645
1.431339  0.141278
1.431351  0.160149
1.431391  0.256575
1.431404  0.246218
1.431417  0.251442
1.431431  0.200586
1.431469  0.202513
1.431508  0.241825
1.431521  0.255042
1.431534  0.263329
1.431547  0.256704
1.431558  0.268887
1.431610  0.150050
1.431619  0.126029
1.431628  0.116488
1.431700  0.008297
1.431720  0.019427
1.431791  0.168725
1.431808  0.226984
1.431821  0.245182
1.431837  0.240593
1.431854  0.250656
1.431867  0.248435
1.431932  0.081489
1.431958  0.075737
