# ================================================================
# FITS HEADER INFO for HD164259
# Extracted from: HD164259_Hband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 8523616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 213080D  / 
# TDIM3      = (21308,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 213080D  / 
# TDIM4      = (21308,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 213080D  / 
# TDIM5      = (21308,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 213080K  / 
# TDIM6      = (21308,10)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 213080D  / 
# TDIM7      = (21308,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 6817375  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 213030D  / 
# TDIM3      = (21303,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 213030D  / 
# TDIM4      = (21303,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 213030D  / 
# TDIM5      = (21303,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 213030K  / 
# TDIM6      = (21303,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 780017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 19500D  / 
# TDIM2      = (1950,10)  / 
# TTYPE3     = flux  / 
# TFORM3     = 19500D  / 
# TDIM3      = (1950,10)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 19500D  / 
# TDIM4      = (1950,10)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 19500D  / 
# TDIM5      = (1950,10)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 19500D  / 
# TDIM6      = (1950,10)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.428548  -0.000827
1.428616  3.570250
1.428626  4.157468
1.428639  3.312572
1.428651  2.971291
1.428664  2.513527
1.428678  3.567320
1.428691  3.851843
1.428704  4.014010
1.428767  4.354165
1.428778  4.262816
1.428794  4.425484
1.428845  4.431121
1.428857  4.468699
1.428870  4.320923
1.428908  3.690587
1.428921  3.973938
1.428999  2.444115
1.429012  2.076549
1.429024  1.592577
1.429034  1.715216
1.429051  2.181841
1.429170  4.653724
1.429184  4.708615
1.429197  4.829896
1.429213  4.920128
1.429229  4.938905
1.429242  4.945888
1.429255  4.831069
1.429268  4.977440
1.429280  4.874000
1.429293  4.837529
1.429309  4.876013
1.429325  4.845286
1.429338  4.866198
1.429351  4.901653
1.429364  4.762525
1.429377  4.726713
1.429389  4.783185
1.429402  4.704867
1.429415  4.628880
1.429428  4.566074
1.429445  4.474905
1.429460  4.621164
1.429473  4.768089
1.429488  4.437128
1.429505  4.601565
1.429518  4.630813
1.429531  4.701608
1.429544  4.752289
1.429557  4.743199
1.429569  4.549585
1.429582  4.543617
1.429634  3.889748
1.429647  3.965585
1.429660  4.414083
1.429699  4.681010
1.429712  4.760044
1.429724  4.502544
1.429737  4.753160
1.429750  4.531105
1.429763  4.763900
1.429776  4.768577
1.429788  4.773005
1.429801  4.699316
1.429814  4.736153
1.429827  4.650532
1.429840  4.544714
1.429855  4.456843
1.429871  4.470974
1.429885  4.053462
1.429985  1.939077
1.430076  4.479510
1.430091  4.279639
1.430104  4.452223
1.430117  4.524036
1.430130  4.617873
1.430143  4.574767
1.430156  4.710678
1.430169  4.699387
1.430182  4.742396
1.430197  4.792815
1.430213  4.794549
1.430227  4.804278
1.430242  4.828802
1.430257  4.837170
1.430272  4.791189
1.430285  4.729210
1.430298  4.756980
1.430311  4.777658
1.430324  4.774774
1.430337  4.795468
1.430350  4.757995
1.430363  4.820387
1.430376  4.767008
1.430389  4.732453
1.430402  4.788412
1.430415  4.830011
1.430428  4.827664
1.430445  4.729026
1.430460  4.826807
1.430475  4.867381
1.430493  4.860939
1.430506  4.869828
1.430518  4.876039
1.430532  4.813664
1.430544  4.874632
1.430557  4.861573
1.430570  4.815482
1.430583  4.692462
1.430596  4.710655
1.430609  4.785644
1.430622  4.695686
1.430635  4.732732
1.430650  4.750227
1.430666  4.751421
1.430680  4.745100
1.430693  4.809214
1.430706  4.804564
1.430719  4.713691
1.430732  4.684086
1.430747  4.626601
1.430763  4.654041
1.430778  4.646316
1.430791  4.597058
1.430804  4.610026
1.430817  4.651745
1.430830  4.633220
1.430843  4.646772
1.430857  4.655603
1.430873  4.511709
1.430886  3.711506
1.430940  2.730301
1.430953  2.652897
1.430967  2.641512
1.430979  2.668362
1.430992  2.921726
1.431005  3.024551
1.431017  3.294173
1.431034  2.892095
1.431050  3.165754
1.431064  3.393680
1.431083  2.776925
1.431096  3.135680
1.431135  2.831008
1.431148  2.363942
1.431161  2.122324
1.431297  2.298969
1.431312  2.411134
1.431318  2.436632
1.431371  4.081811
1.431383  3.874992
1.431396  3.771836
1.431448  3.043449
1.431486  3.503745
1.431502  3.900254
1.431516  3.893024
1.431531  3.727409
1.431583  2.125396
1.431595  2.214374
1.431610  1.968897
1.431766  3.498448
1.431780  3.255549
1.431794  3.379842
1.431807  3.473765
1.431820  3.512017
1.431832  3.572973
1.431846  3.511670
1.431899  1.524848
1.431911  1.295059
1.431924  1.198091
1.431936  1.352374
1.431989  3.291412
1.432002  3.350878
1.432016  3.382318
1.432029  3.187315
1.432042  2.508133
1.432068  2.179526
1.432120  4.118182
1.432134  4.279938
1.432146  4.370263
1.432160  4.399545
1.432173  4.337678
1.432186  4.282947
1.432201  4.215357
1.432215  3.984016
1.432226  3.686678
1.432306  3.416035
1.432313  3.385363
1.432328  2.869721
1.432345  2.036949
1.432408  1.088684
1.432456  0.140330
1.432458  0.134702
1.432504  1.117441
1.432520  1.090213
1.432533  0.947652
1.432546  0.876706
1.432572  0.500452
1.432631  2.944192
1.432641  3.161802
1.432655  3.163481
1.432664  2.925540
1.432698  1.612814
1.432729  2.491786
1.432742  3.253770
1.432755  3.852511
1.432770  4.125688
1.432783  4.245859
1.432796  4.404213
1.432809  4.336154
1.432822  4.362811
1.432835  4.385827
1.432848  4.410333
1.432862  4.336035
1.432875  4.268837
1.432888  4.159340
1.432901  3.987375
1.432914  3.528106
1.432928  2.510929
1.432941  1.588838
1.432954  1.486849
1.432972  1.950545
1.432991  2.967186
1.432998  3.535834
1.433014  4.029331
1.433029  4.379134
1.433043  4.487141
1.433059  4.462552
1.433072  4.429922
1.433085  4.561424
1.433099  4.319507
1.433112  4.207983
1.433125  4.068324
1.433138  3.898646
1.433151  3.749003
1.433165  2.938149
1.433177  2.286014
1.433191  1.739842
1.433201  1.876228
1.433216  2.989488
1.433230  4.003612
1.433245  4.299672
1.433260  4.378986
1.433272  4.462601
1.433286  4.382458
1.433301  4.503285
1.433315  4.516176
1.433329  4.532934
1.433342  4.555110
1.433357  4.628682
1.433372  4.547604
1.433385  4.470513
1.433399  4.574168
1.433411  4.286885
1.433425  4.160436
1.433440  3.458395
1.433456  2.646779
1.433468  2.614082
1.433480  3.023530
1.433493  3.804485
1.433506  4.180540
1.433522  4.357477
1.433537  4.558690
1.433550  4.517436
1.433563  4.529211
1.433576  4.485351
1.433589  4.461238
1.433605  4.235562
1.433619  4.045933
1.433633  4.005271
1.433645  4.174636
1.433658  4.283095
1.433672  4.124730
1.433686  3.704562
1.433699  3.187772
1.433713  3.017970
1.433725  3.303970
1.433739  2.840715
1.433753  2.431195
1.433768  2.338976
1.433782  2.274809
1.433797  2.614906
1.433810  3.392151
1.433825  4.054054
1.433839  4.303572
1.433852  4.472630
1.433867  4.537227
1.433880  4.567765
1.433894  4.539057
1.433910  4.587484
1.433923  4.490215
1.433937  4.551005
1.433950  4.368002
1.433964  3.920689
1.433977  3.330367
1.433989  3.046339
1.434001  3.578755
1.434015  4.012391
1.434029  4.122880
1.434043  3.900674
1.434055  3.672371
1.434068  3.904112
1.434082  4.114573
1.434095  4.111588
1.434111  4.101771
1.434123  3.700680
1.434137  2.972503
1.434154  2.059083
1.434168  2.056900
1.434183  2.897972
1.434198  3.817076
1.434213  4.353518
1.434225  4.385531
1.434241  4.392050
1.434254  4.276980
1.434268  4.233424
1.434281  4.127490
1.434295  3.747979
1.434309  3.000695
1.434321  2.759238
1.434333  2.856429
1.434347  2.921383
1.434362  2.260996
1.434374  1.748170
1.434390  1.025028
1.434401  0.548078
1.434413  0.240895
1.434425  0.204950
1.434439  0.208467
1.434452  0.130683
1.434465  0.059529
1.434479  0.120012
1.434495  0.537363
1.434517  1.433044
1.434526  1.616232
1.434544  2.444160
