# ================================================================
# FITS HEADER INFO for GJ876
# Extracted from: GJ876_Jband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 6898816  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 172460D  / 
# TDIM3      = (17246,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 172460D  / 
# TDIM4      = (17246,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 172460D  / 
# TDIM5      = (17246,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 172460K  / 
# TDIM6      = (17246,10)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 172460D  / 
# TDIM7      = (17246,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 5521663  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 376A  / 
# TDIM2      = (8,47)  / 
# TTYPE3     = wave  / 
# TFORM3     = 172540D  / 
# TDIM3      = (17254,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 172540D  / 
# TDIM4      = (17254,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 172540D  / 
# TDIM5      = (17254,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 172540K  / 
# TDIM6      = (17254,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 780017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 19500D  / 
# TDIM2      = (1950,10)  / 
# TTYPE3     = flux  / 
# TFORM3     = 19500D  / 
# TDIM3      = (1950,10)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 19500D  / 
# TDIM4      = (1950,10)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 19500D  / 
# TDIM5      = (1950,10)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 19500D  / 
# TDIM6      = (1950,10)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.146641  -0.011494
1.146653  -0.014128
1.146677  0.723874
1.146762  0.084638
1.146839  1.458435
1.146850  1.543036
1.146862  1.624735
1.146876  1.691301
1.146886  1.731185
1.146896  1.750460
1.146907  1.730318
1.146917  1.690478
1.146928  1.673448
1.146938  1.636577
1.146948  1.650762
1.146959  1.647370
1.146969  1.662537
1.146980  1.711943
1.146990  1.731644
1.147001  1.751391
1.147011  1.790111
1.147025  1.803348
1.147037  1.810076
1.147048  1.758588
1.147058  1.718495
1.147071  1.721438
1.147083  1.454818
1.147094  1.308974
1.147146  0.269907
1.147200  1.276756
1.147209  1.546807
1.147220  1.625775
1.147230  1.666247
1.147244  1.725868
1.147256  1.722079
1.147267  1.749859
1.147279  1.766232
1.147293  1.695108
1.147303  1.685349
1.147314  1.666925
1.147324  1.666306
1.147335  1.666048
1.147345  1.668907
1.147356  1.675119
1.147366  1.612246
1.147450  1.230751
1.147464  1.575229
1.147476  1.594767
1.147487  1.655544
1.147499  1.633328
1.147513  1.611986
1.147523  1.548229
1.147534  1.161338
1.147607  1.574906
1.147617  1.622839
1.147628  1.591908
1.147638  1.520180
1.147649  1.565753
1.147706  0.307672
1.147753  1.458637
1.147763  1.547899
1.147774  1.580942
1.147785  1.651726
1.147796  1.739189
1.147806  1.755947
1.147817  1.782340
1.147827  1.734140
1.147837  1.726635
1.147848  1.725435
1.147858  1.693024
1.147869  1.711593
1.147879  1.730644
1.147890  1.732770
1.147900  1.776228
1.147911  1.810752
1.147921  1.840100
1.147936  1.886614
1.147948  1.875557
1.147960  1.868191
1.147974  1.861795
1.147985  1.816587
1.147995  1.812629
1.148006  1.792463
1.148016  1.778094
1.148027  1.767349
1.148037  1.766250
1.148048  1.769856
1.148058  1.784636
1.148069  1.814008
1.148079  1.792773
1.148090  1.824623
1.148100  1.840497
1.148111  1.831394
1.148121  1.823987
1.148132  1.861012
1.148142  1.872403
1.148153  1.880252
1.148163  1.939024
1.148174  1.890557
1.148188  1.853686
1.148202  1.849140
1.148216  1.759086
1.148226  1.766985
1.148237  1.772584
1.148247  1.776442
1.148258  1.780923
1.148269  1.852974
1.148279  1.847661
1.148289  1.892859
1.148300  1.917601
1.148311  1.920516
1.148321  1.915578
1.148332  1.922040
1.148342  1.927969
1.148353  1.910148
1.148363  1.894468
1.148374  1.863040
1.148384  1.824698
1.148395  1.817945
1.148406  1.815257
1.148416  1.794288
1.148427  1.795162
1.148441  1.832275
1.148455  1.862662
1.148469  1.862773
1.148479  1.856777
1.148490  1.833759
1.148500  1.845056
1.148511  1.839506
1.148522  1.880282
1.148532  1.879995
1.148543  1.863230
1.148554  1.843254
1.148564  1.798820
1.148574  1.780124
1.148585  1.752995
1.148595  1.765901
1.148606  1.790918
1.148617  1.782857
1.148627  1.800274
1.148638  1.783392
1.148648  1.783556
1.148659  1.789189
1.148669  1.806604
1.148680  1.730149
1.148690  1.645771
1.148701  1.596373
1.148715  1.554892
1.148728  1.424537
1.148743  1.425273
1.148754  1.361295
1.148765  1.351416
1.148775  1.379640
1.148786  1.381377
1.148796  1.452472
1.148807  1.489720
1.148817  1.529584
1.148828  1.567034
1.148838  1.591792
1.148849  1.684036
1.148860  1.667618
1.148870  1.648173
1.148881  1.559295
1.148997  1.217898
1.149008  1.452480
