# ================================================================
# FITS HEADER INFO for GL628
# Extracted from: GL628_Jband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 6898816  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 172460D  / 
# TDIM3      = (17246,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 172460D  / 
# TDIM4      = (17246,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 172460D  / 
# TDIM5      = (17246,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 172460K  / 
# TDIM6      = (17246,10)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 172460D  / 
# TDIM7      = (17246,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 5520415  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 172500D  / 
# TDIM3      = (17250,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 172500D  / 
# TDIM4      = (17250,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 172500D  / 
# TDIM5      = (17250,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 172500K  / 
# TDIM6      = (17250,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 780017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 19500D  / 
# TDIM2      = (1950,10)  / 
# TTYPE3     = flux  / 
# TFORM3     = 19500D  / 
# TDIM3      = (1950,10)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 19500D  / 
# TDIM4      = (1950,10)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 19500D  / 
# TDIM5      = (1950,10)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 19500D  / 
# TDIM6      = (1950,10)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.146493  -0.044693
1.146532  2.127407
1.146637  0.109738
1.146700  0.745140
1.146712  0.873942
1.146724  0.980000
1.146737  1.037002
1.146749  1.091799
1.146760  1.130213
1.146773  1.108822
1.146783  1.098460
1.146793  1.089175
1.146804  1.101974
1.146814  1.066121
1.146825  1.027696
1.146835  1.029869
1.146845  1.004955
1.146856  1.021438
1.146866  1.001624
1.146877  1.018828
1.146887  1.012016
1.146899  1.068821
1.146910  1.088729
1.146921  1.100099
1.146934  1.115784
1.146947  1.109419
1.146957  1.079509
1.146969  0.996242
1.146981  0.793665
1.147023  0.222389
1.147075  0.924373
1.147085  0.996095
1.147096  1.029367
1.147106  1.095238
1.147118  1.108738
1.147129  1.119417
1.147143  1.077892
1.147156  1.096056
1.147166  1.069078
1.147177  1.048143
1.147188  1.028787
1.147200  1.012303
1.147211  0.989787
1.147221  0.984836
1.147232  0.966745
1.147242  0.940213
1.147252  0.883854
1.147325  0.841889
1.147338  1.023157
1.147349  1.029434
1.147362  1.032468
1.147375  1.006694
1.147386  0.993848
1.147396  0.963519
1.147407  0.910298
1.147412  0.795896
1.147442  0.676761
1.147464  1.049070
1.147473  1.016867
1.147483  1.062498
1.147493  1.079810
1.147504  1.013611
1.147515  0.948851
1.147524  0.862509
1.147535  0.754740
1.147545  0.751350
1.147638  0.953508
1.147651  1.036678
1.147661  1.080361
1.147672  1.110842
1.147682  1.116944
1.147693  1.103289
1.147703  1.090327
1.147714  1.074793
1.147724  1.057007
1.147735  1.060225
1.147745  1.055641
1.147756  1.022035
1.147766  1.027889
1.147777  1.022092
1.147787  1.040137
1.147798  1.055810
1.147811  1.070410
1.147825  1.109201
1.147837  1.145818
1.147847  1.168293
1.147858  1.169371
1.147868  1.174585
1.147879  1.183497
1.147890  1.149700
1.147903  1.129097
1.147913  1.109413
1.147924  1.059874
1.147934  1.054804
1.147945  1.025203
1.147955  1.023042
1.147966  1.043161
1.147976  1.040957
1.147987  1.059761
1.147997  1.097899
1.148008  1.109012
1.148018  1.143255
1.148029  1.174138
1.148039  1.194392
1.148052  1.210515
1.148065  1.184217
1.148079  1.136556
1.148089  1.100982
1.148100  1.107028
1.148110  1.095860
1.148121  1.092650
1.148132  1.066865
1.148145  1.058270
1.148155  1.043761
1.148166  1.060635
1.148176  1.068036
1.148187  1.112927
1.148197  1.151296
1.148208  1.194023
1.148218  1.193338
1.148229  1.197219
1.148239  1.204815
1.148250  1.184571
1.148261  1.179188
1.148271  1.152771
1.148282  1.119051
1.148292  1.083608
1.148305  1.068238
1.148317  1.057999
1.148330  1.055253
1.148342  1.046369
1.148353  1.062549
1.148363  1.086586
1.148374  1.101928
1.148384  1.139575
1.148396  1.192060
1.148408  1.216280
1.148419  1.200711
1.148429  1.204916
1.148440  1.176689
1.148450  1.152614
1.148461  1.127728
1.148471  1.098752
1.148482  1.073407
1.148493  1.047019
1.148503  1.016065
1.148514  1.017861
1.148524  1.029029
1.148535  1.038682
1.148545  1.066031
1.148556  1.071542
1.148569  1.073689
1.148581  1.065491
1.148594  1.111320
1.148606  1.153512
1.148616  1.145740
1.148627  1.121914
1.148638  1.039474
1.148648  0.953701
1.148659  0.883019
1.148670  0.810378
1.148683  0.778500
1.148693  0.772406
1.148704  0.823014
1.148715  0.898023
1.148725  0.956642
1.148736  1.013785
1.148746  1.035042
1.148757  1.022493
1.148766  1.071633
1.148809  0.263099
1.148820  0.144666
1.148829  0.128891
1.148879  0.911691
1.148890  0.978702
1.148902  1.015504
1.148912  1.055348
1.148923  1.085459
1.148934  1.129489
1.148944  1.178395
1.148956  1.185287
1.148969  1.191038
1.148979  1.189908
1.148990  1.171352
1.149000  1.148099
1.149011  1.150235
1.149021  1.120792
1.149032  1.111847
1.149043  1.085039
1.149053  1.071459
1.149064  1.080316
1.149075  1.070791
1.149085  1.096911
1.149096  1.120076
1.149106  1.132385
1.149117  1.157535
1.149129  1.176299
