# ================================================================
# FITS HEADER INFO for GL745A
# Extracted from: GL745A_Jband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 6898816  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 172460D  / 
# TDIM3      = (17246,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 172460D  / 
# TDIM4      = (17246,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 172460D  / 
# TDIM5      = (17246,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 172460K  / 
# TDIM6      = (17246,10)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 172460D  / 
# TDIM7      = (17246,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 5519135  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 172460D  / 
# TDIM3      = (17246,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 172460D  / 
# TDIM4      = (17246,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 172460D  / 
# TDIM5      = (17246,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 172460K  / 
# TDIM6      = (17246,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 780017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 19500D  / 
# TDIM2      = (1950,10)  / 
# TTYPE3     = flux  / 
# TFORM3     = 19500D  / 
# TDIM3      = (1950,10)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 19500D  / 
# TDIM4      = (1950,10)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 19500D  / 
# TDIM5      = (1950,10)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 19500D  / 
# TDIM6      = (1950,10)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.146563  0.012135
1.146577  -0.025205
1.146587  0.031517
1.146598  0.200170
1.146609  0.194061
1.146693  0.035112
1.146703  0.037031
1.146746  0.265772
1.146757  0.342879
1.146770  0.387306
1.146782  0.415489
1.146792  0.429280
1.146804  0.443471
1.146818  0.433143
1.146828  0.436158
1.146838  0.446173
1.146849  0.404262
1.146859  0.408826
1.146870  0.399385
1.146880  0.398157
1.146891  0.382473
1.146901  0.395673
1.146911  0.386988
1.146922  0.394996
1.146932  0.415561
1.146943  0.435653
1.146953  0.444976
1.146966  0.456033
1.146978  0.453304
1.146990  0.439679
1.147002  0.452295
1.147016  0.410148
1.147026  0.381454
1.147036  0.298473
1.147078  0.098990
1.147120  0.324857
1.147130  0.392061
1.147141  0.420113
1.147151  0.436841
1.147162  0.447031
1.147172  0.463064
1.147186  0.453783
1.147199  0.439577
1.147210  0.435462
1.147223  0.411217
1.147235  0.401349
1.147245  0.389878
1.147256  0.385377
1.147266  0.377357
1.147277  0.398862
1.147287  0.385117
1.147298  0.387393
1.147308  0.357248
1.147381  0.391412
1.147392  0.408634
1.147406  0.398131
1.147418  0.393440
1.147431  0.381703
1.147444  0.372069
1.147455  0.358326
1.147465  0.296745
1.147475  0.275214
1.147486  0.287872
1.147496  0.339711
1.147517  0.415258
1.147528  0.441558
1.147539  0.452554
1.147549  0.447808
1.147559  0.418797
1.147570  0.398391
1.147580  0.372659
1.147591  0.363899
1.147633  0.098778
1.147664  0.298742
1.147674  0.361108
1.147685  0.361506
1.147696  0.375882
1.147706  0.389715
1.147717  0.401747
1.147727  0.409883
1.147738  0.439619
1.147748  0.443593
1.147759  0.436090
1.147769  0.423937
1.147780  0.418226
1.147790  0.399327
1.147801  0.399905
1.147811  0.390339
1.147822  0.402030
1.147832  0.415347
1.147843  0.420073
1.147853  0.426538
1.147866  0.442517
1.147879  0.446046
1.147892  0.464014
1.147906  0.466521
1.147916  0.469873
1.147927  0.455619
1.147937  0.457648
1.147948  0.431235
1.147958  0.435751
1.147969  0.404284
1.147979  0.401454
1.147990  0.395906
1.148000  0.404539
1.148011  0.410404
1.148021  0.422774
1.148032  0.420717
1.148042  0.439352
1.148053  0.461634
1.148063  0.466486
1.148074  0.477882
1.148084  0.484075
1.148095  0.481895
1.148105  0.474242
1.148121  0.458659
1.148135  0.434198
1.148148  0.407889
1.148158  0.404445
1.148168  0.414534
1.148179  0.408829
1.148190  0.405252
1.148200  0.413322
1.148211  0.421436
1.148221  0.427667
1.148232  0.458983
1.148242  0.474418
1.148253  0.483084
1.148263  0.470293
1.148274  0.483757
1.148284  0.464710
1.148295  0.463924
1.148305  0.462530
1.148316  0.446404
1.148327  0.430137
1.148337  0.419752
1.148348  0.412797
1.148358  0.406802
1.148373  0.409380
1.148388  0.421372
1.148400  0.430914
1.148411  0.439647
1.148421  0.457572
1.148432  0.467373
1.148442  0.479148
1.148453  0.479772
1.148464  0.492638
1.148474  0.491908
1.148485  0.465802
1.148495  0.464886
1.148506  0.438737
1.148516  0.417835
1.148527  0.405353
1.148538  0.396098
1.148548  0.407394
1.148559  0.400641
1.148569  0.413681
1.148580  0.438670
1.148590  0.433367
1.148601  0.442684
1.148611  0.445543
1.148622  0.445048
1.148637  0.440191
1.148652  0.459921
1.148664  0.456303
1.148675  0.440577
1.148685  0.405307
1.148696  0.391365
1.148707  0.367711
1.148717  0.359704
1.148728  0.359507
1.148738  0.364508
1.148749  0.378917
1.148759  0.385555
1.148770  0.404525
1.148781  0.417720
1.148791  0.433057
1.148802  0.430700
1.148812  0.427713
1.148823  0.400428
1.148865  0.094759
1.148876  0.064336
1.148886  0.098487
1.148897  0.160802
1.148929  0.340236
1.148937  0.363429
1.148948  0.394132
1.148960  0.414952
1.148971  0.431625
1.148981  0.451808
1.148992  0.465199
1.149003  0.483671
1.149013  0.485633
1.149024  0.480205
1.149035  0.469269
1.149045  0.448957
1.149056  0.440353
1.149066  0.425804
1.149077  0.409384
1.149088  0.418036
1.149098  0.410704
1.149109  0.404452
1.149119  0.414511
1.149130  0.434988
1.149141  0.443491
1.149151  0.452383
1.149162  0.477544
1.149172  0.486740
1.149183  0.484869
1.149197  0.494532
1.149209  0.489409
1.149220  0.472096
1.149233  0.452742
1.149247  0.441143
1.149257  0.431240
1.149268  0.421891
1.149279  0.417577
1.149289  0.404190
1.149300  0.417157
1.149310  0.414290
1.149321  0.423106
1.149332  0.442875
1.149342  0.457816
1.149353  0.477438
1.149363  0.484426
1.149374  0.490753
1.149385  0.493977
1.149395  0.483125
1.149406  0.475401
1.149417  0.459631
1.149427  0.443353
1.149438  0.430601
1.149448  0.422260
1.149459  0.415189
1.149470  0.411087
1.149480  0.409801
1.149493  0.417961
1.149506  0.430134
1.149517  0.440343
1.149529  0.457946
1.149542  0.468713
1.149555  0.459419
1.149565  0.455346
1.149576  0.437060
1.149587  0.392278
1.149598  0.307962
1.149629  0.168343
1.149672  0.347735
1.149682  0.388820
1.149693  0.411416
1.149704  0.430014
1.149714  0.456132
1.149725  0.459188
1.149736  0.462737
1.149746  0.465792
1.149757  0.443114
1.149768  0.406708
1.149777  0.403834
1.149832  0.038301
1.149875  0.343329
1.149886  0.385718
1.149896  0.388379
1.149906  0.414092
1.149917  0.433827
1.149928  0.447447
1.149938  0.456249
1.149949  0.449178
1.149960  0.432901
1.149970  0.418972
1.149981  0.412939
1.149992  0.396883
1.150002  0.395589
1.150013  0.389706
1.150024  0.374131
1.150034  0.358661
1.150045  0.323702
1.150056  0.300914
1.150066  0.287759
1.150077  0.336216
1.150097  0.366694
1.150109  0.475925
1.150120  0.490481
1.150130  0.478043
1.150141  0.465381
1.150155  0.448129
1.150167  0.422204
1.150178  0.391873
1.150189  0.365574
1.150199  0.352304
1.150210  0.354025
1.150222  0.384194
1.150235  0.406316
1.150248  0.433932
1.150258  0.460319
1.150269  0.466848
1.150280  0.475664
1.150290  0.485219
1.150301  0.489667
1.150312  0.482684
1.150323  0.471797
1.150333  0.459177
1.150344  0.449195
1.150355  0.434190
1.150365  0.412979
1.150376  0.407539
1.150387  0.411876
1.150397  0.407031
1.150408  0.409604
1.150419  0.424472
1.150429  0.437555
1.150440  0.456617
1.150451  0.471939
1.150462  0.478753
1.150472  0.473354
1.150483  0.465994
1.150494  0.465157
1.150504  0.452207
1.150518  0.455497
1.150531  0.442323
1.150542  0.426618
1.150552  0.420069
1.150563  0.406265
1.150574  0.415789
1.150584  0.404784
1.150596  0.415228
1.150609  0.427290
1.150620  0.455642
1.150633  0.466992
1.150644  0.480338
1.150654  0.489087
1.150665  0.496537
1.150676  0.498918
1.150687  0.487790
1.150697  0.479178
1.150708  0.461445
1.150719  0.446948
1.150729  0.427673
1.150740  0.414236
1.150751  0.406255
1.150762  0.409778
1.150772  0.408335
1.150783  0.413403
1.150794  0.426216
1.150804  0.435396
1.150815  0.438041
1.150826  0.427453
1.150901  0.354416
1.150913  0.400205
1.150926  0.405490
1.150938  0.409473
1.150949  0.416203
1.150960  0.412624
1.150970  0.429242
1.150981  0.449418
1.150992  0.467086
1.151003  0.487226
1.151015  0.488043
1.151028  0.496408
1.151041  0.491598
1.151051  0.494308
1.151062  0.467165
1.151073  0.471725
1.151084  0.457443
1.151094  0.430110
1.151105  0.424630
1.151116  0.412193
1.151126  0.404982
1.151137  0.408746
1.151148  0.422056
1.151159  0.441151
1.151170  0.444098
1.151180  0.463969
1.151191  0.467873
1.151202  0.476947
1.151213  0.481588
1.151223  0.479039
1.151234  0.486605
1.151245  0.472254
1.151256  0.457774
1.151266  0.438733
1.151277  0.401798
1.151288  0.372833
1.151297  0.377556
1.151358  0.281088
1.151368  0.362173
1.151375  0.437609
1.151390  0.464251
1.151400  0.474583
1.151411  0.493284
1.151422  0.485839
1.151433  0.488351
1.151444  0.472453
1.151454  0.456900
1.151465  0.437985
1.151477  0.417619
1.151491  0.412200
1.151503  0.414127
1.151514  0.418908
1.151525  0.424973
1.151535  0.445944
1.151546  0.456109
1.151557  0.476231
1.151568  0.493749
1.151579  0.506328
1.151589  0.513408
1.151600  0.510574
1.151611  0.508419
1.151622  0.495876
1.151633  0.468476
1.151643  0.451980
1.151654  0.433899
1.151665  0.420735
1.151676  0.413053
1.151686  0.410759
1.151697  0.404115
1.151708  0.416921
1.151719  0.428375
1.151730  0.447228
1.151740  0.472355
1.151751  0.484140
1.151762  0.490647
1.151773  0.507850
1.151784  0.503118
1.151794  0.499827
1.151805  0.485623
1.151816  0.473808
1.151830  0.445878
1.151842  0.428540
1.151853  0.427435
1.151864  0.417015
1.151875  0.415278
1.151886  0.418756
1.151896  0.427713
1.151907  0.435357
1.151918  0.456697
1.151929  0.468904
1.151940  0.489911
1.151951  0.483281
1.151961  0.486563
1.151972  0.480838
1.151983  0.459113
1.151996  0.403233
1.152012  0.287406
1.152053  0.091719
1.152099  0.405971
1.152108  0.401426
1.152119  0.428971
1.152129  0.457763
1.152140  0.468381
1.152151  0.481983
1.152162  0.482784
1.152172  0.470068
1.152183  0.454684
1.152194  0.450065
1.152205  0.438835
1.152216  0.436157
1.152227  0.426361
1.152238  0.425933
1.152248  0.414794
1.152259  0.420500
1.152270  0.431986
1.152281  0.447931
1.152292  0.466608
1.152302  0.484745
1.152313  0.500306
1.152324  0.496323
1.152335  0.507951
1.152346  0.504433
1.152357  0.493874
1.152370  0.475429
1.152383  0.448561
1.152394  0.428763
1.152405  0.416278
1.152416  0.406843
1.152427  0.413281
1.152437  0.419940
1.152448  0.429717
1.152459  0.441139
1.152470  0.450979
1.152481  0.473441
1.152492  0.487202
1.152502  0.502407
1.152513  0.497292
1.152524  0.503327
1.152535  0.488253
1.152546  0.474649
1.152557  0.448287
1.152567  0.434829
1.152578  0.405498
1.152589  0.376653
1.152602  0.330239
1.152608  0.270954
1.152649  0.109932
1.152684  0.316999
1.152693  0.313009
1.152704  0.308326
1.152717  0.209135
1.152749  0.096262
1.152792  0.359871
1.152801  0.354354
1.152812  0.377775
1.152823  0.400680
1.152834  0.415403
1.152845  0.439135
1.152855  0.463614
1.152866  0.482655
1.152877  0.490117
1.152888  0.502342
1.152899  0.500792
1.152910  0.488263
1.152921  0.482111
1.152932  0.463066
1.152942  0.447204
1.152953  0.432298
1.152964  0.417390
1.152975  0.413871
1.152987  0.415204
1.152998  0.428180
1.153010  0.438559
1.153023  0.448277
1.153034  0.464281
1.153045  0.475067
1.153056  0.494643
1.153067  0.508233
1.153078  0.513005
1.153089  0.523350
1.153100  0.513475
1.153111  0.489618
1.153121  0.467680
1.153132  0.444603
1.153143  0.429847
1.153154  0.418913
1.153165  0.417942
1.153176  0.414211
1.153187  0.417920
1.153198  0.429467
1.153208  0.443962
1.153219  0.459302
1.153230  0.485827
1.153241  0.506166
1.153252  0.514275
1.153263  0.510672
1.153274  0.505255
1.153285  0.497061
1.153296  0.488312
1.153306  0.466037
1.153319  0.438247
1.153331  0.424440
1.153343  0.416945
1.153356  0.411107
1.153367  0.404807
1.153378  0.412297
1.153389  0.416058
1.153399  0.439871
1.153410  0.466220
1.153421  0.488660
1.153432  0.513790
1.153443  0.510950
1.153454  0.502766
1.153465  0.495885
1.153476  0.485671
1.153487  0.477779
1.153498  0.447878
1.153508  0.432019
1.153519  0.419653
1.153530  0.406497
1.153541  0.411853
1.153552  0.419112
1.153563  0.432245
1.153574  0.440332
1.153585  0.453962
1.153596  0.466844
1.153607  0.474188
1.153618  0.472207
1.153628  0.461345
1.153639  0.459957
1.153650  0.472609
1.153661  0.469887
1.153672  0.454537
1.153683  0.443406
1.153694  0.419437
1.153705  0.379844
1.153727  0.322652
1.153759  0.389397
1.153770  0.421555
1.153781  0.439655
1.153792  0.464473
1.153803  0.477025
1.153816  0.489616
1.153830  0.481298
1.153841  0.441961
1.153852  0.426055
1.153863  0.429483
1.153874  0.429632
1.153885  0.422676
1.153896  0.416621
1.153906  0.402776
1.153917  0.408184
1.153928  0.413445
1.153939  0.428109
1.153950  0.440444
1.153961  0.453884
1.153972  0.467382
1.153983  0.485406
1.153994  0.505584
1.154005  0.497348
1.154016  0.476891
1.154024  0.413134
1.154103  0.367590
1.154114  0.393716
1.154125  0.413536
1.154136  0.431923
1.154147  0.452835
1.154158  0.472385
1.154169  0.489857
1.154180  0.506491
1.154191  0.502550
1.154202  0.503305
1.154213  0.499374
1.154224  0.480902
1.154234  0.455935
1.154245  0.434610
1.154256  0.421900
1.154267  0.415239
1.154278  0.401719
1.154289  0.398465
1.154300  0.399187
1.154311  0.387967
1.154322  0.366968
1.154333  0.373879
1.154347  0.384088
1.154355  0.469953
1.154366  0.492167
1.154377  0.496049
1.154390  0.486882
1.154402  0.460030
1.154413  0.449858
1.154425  0.427017
1.154437  0.410493
1.154449  0.358873
1.154481  0.260787
1.154514  0.393367
1.154525  0.442234
1.154536  0.467101
1.154547  0.477033
1.154558  0.497118
1.154569  0.506773
1.154580  0.509219
1.154591  0.495920
1.154602  0.479951
1.154613  0.456279
1.154624  0.444364
1.154635  0.433583
1.154646  0.431013
1.154657  0.429875
1.154668  0.427601
1.154679  0.432779
1.154690  0.436735
1.154701  0.455576
1.154712  0.477627
1.154723  0.494114
1.154733  0.509412
1.154744  0.504764
1.154756  0.514632
1.154766  0.503585
1.154777  0.497883
1.154788  0.483568
1.154799  0.466215
1.154810  0.451574
1.154821  0.434726
1.154832  0.425492
1.154843  0.424747
1.154854  0.425767
1.154865  0.436269
1.154876  0.449805
1.154887  0.458643
1.154898  0.477875
1.154909  0.487816
1.154920  0.502910
1.154931  0.503577
1.154942  0.500298
1.154953  0.495582
1.154964  0.459582
1.154975  0.411489
1.155008  0.278327
1.155035  0.373061
1.155046  0.400343
1.155056  0.419451
1.155066  0.441900
1.155079  0.470378
1.155090  0.490319
1.155101  0.493957
1.155112  0.501989
1.155123  0.504801
1.155134  0.505311
1.155145  0.499370
1.155156  0.491349
1.155167  0.482800
1.155178  0.457959
1.155189  0.439241
1.155200  0.427078
1.155211  0.414300
1.155222  0.411689
1.155233  0.424902
1.155244  0.436673
1.155255  0.450978
1.155266  0.477981
1.155277  0.500870
1.155288  0.517363
1.155299  0.514866
1.155310  0.514947
1.155321  0.512556
1.155332  0.512343
1.155343  0.484431
1.155354  0.466420
1.155365  0.450337
1.155376  0.434018
1.155387  0.420626
1.155398  0.413708
1.155409  0.395320
1.155419  0.356380
1.155429  0.303239
1.155442  0.331142
1.155462  0.481112
1.155475  0.484764
1.155486  0.509947
1.155497  0.515525
1.155508  0.507070
1.155519  0.491217
1.155530  0.478954
1.155541  0.466544
1.155552  0.447107
1.155563  0.431401
1.155574  0.431903
1.155585  0.426008
1.155596  0.426902
1.155607  0.432624
1.155618  0.443705
1.155629  0.456762
1.155641  0.476624
1.155652  0.497963
1.155663  0.520687
1.155674  0.517217
1.155685  0.513004
1.155696  0.506386
1.155707  0.485920
1.155718  0.463033
1.155729  0.431769
1.155773  0.204534
1.155784  0.200505
1.155808  0.133358
1.155839  0.398288
1.155861  0.489492
1.155872  0.497463
1.155883  0.491960
1.155894  0.475547
1.155905  0.468483
1.155916  0.455391
1.155927  0.441016
1.155938  0.427184
1.155949  0.413048
1.155960  0.413721
1.155972  0.416871
1.155982  0.427287
1.155994  0.442784
1.156005  0.456023
1.156016  0.472377
1.156027  0.495844
1.156038  0.510030
1.156049  0.516501
1.156060  0.511212
1.156071  0.511412
1.156082  0.494942
1.156093  0.488126
1.156104  0.461654
1.156115  0.440412
1.156126  0.428573
1.156137  0.418145
1.156148  0.422715
1.156159  0.426592
1.156170  0.431718
1.156181  0.446793
1.156192  0.465909
1.156203  0.479378
1.156214  0.498766
1.156226  0.517155
1.156237  0.518132
1.156248  0.521816
1.156259  0.512144
1.156270  0.501370
1.156281  0.478435
1.156292  0.460702
1.156303  0.442981
1.156314  0.434555
1.156325  0.417157
1.156336  0.419833
1.156347  0.417648
1.156358  0.428999
1.156369  0.448717
1.156380  0.473096
1.156391  0.496041
1.156402  0.504365
1.156414  0.506430
1.156425  0.500031
1.156436  0.498594
1.156447  0.500357
1.156458  0.491841
1.156469  0.472886
1.156480  0.437973
1.156491  0.414377
1.156502  0.389909
1.156513  0.372497
1.156524  0.370645
1.156535  0.346356
1.156557  0.299776
