# ================================================================
# FITS HEADER INFO for HD199381
# Extracted from: HD199381_Jband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 6898816  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 172460D  / 
# TDIM3      = (17246,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 172460D  / 
# TDIM4      = (17246,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 172460D  / 
# TDIM5      = (17246,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 172460K  / 
# TDIM6      = (17246,10)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 172460D  / 
# TDIM7      = (17246,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 5520735  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 172510D  / 
# TDIM3      = (17251,10)  / 
# TTYPE4     = flux  / 
# TFORM4     = 172510D  / 
# TDIM4      = (17251,10)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 172510D  / 
# TDIM5      = (17251,10)  / 
# TTYPE6     = mask  / 
# TFORM6     = 172510K  / 
# TDIM6      = (17251,10)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 780017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 19500D  / 
# TDIM2      = (1950,10)  / 
# TTYPE3     = flux  / 
# TFORM3     = 19500D  / 
# TDIM3      = (1950,10)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 19500D  / 
# TDIM4      = (1950,10)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 19500D  / 
# TDIM5      = (1950,10)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 19500D  / 
# TDIM6      = (1950,10)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.146604  -0.010904
1.146647  1.951627
1.146742  0.328625
1.146821  3.693459
1.146829  3.788783
1.146840  3.923225
1.146852  4.000453
1.146866  3.939702
1.146876  3.848830
1.146887  3.843635
1.146897  3.744733
1.146908  3.842548
1.146918  3.831388
1.146928  3.808954
1.146939  3.804091
1.146949  3.841089
1.146960  3.889450
1.146970  3.895579
1.146981  3.805752
1.146991  3.740639
1.147001  3.663026
1.147012  3.660753
1.147025  3.923705
1.147038  3.897148
1.147050  3.941842
1.147062  3.828050
1.147074  3.227155
1.147084  2.610501
1.147126  0.852596
1.147169  2.970720
1.147179  3.718315
1.147189  4.021348
1.147200  4.155245
1.147210  4.137546
1.147221  4.181545
1.147234  4.142679
1.147247  4.130940
1.147257  4.048841
1.147270  4.002699
1.147283  3.867345
1.147294  3.914227
1.147304  3.895031
1.147315  3.901064
1.147325  3.861969
1.147336  3.824870
1.147346  3.711331
1.147356  3.489444
1.147430  3.064342
1.147440  3.192553
1.147453  3.415091
1.147465  3.507066
1.147478  3.662744
1.147490  3.724158
1.147503  3.640375
1.147513  2.903039
1.147566  3.774531
1.147576  3.992674
1.147587  4.072899
1.147597  3.960515
1.147608  3.853594
1.147618  3.613346
1.147629  3.610685
1.147682  0.632948
1.147723  3.434267
1.147733  3.820563
1.147744  3.692507
1.147754  3.730451
1.147765  3.365023
1.147775  3.328733
1.147786  3.262223
1.147796  3.804076
1.147807  3.665380
1.147817  3.735428
1.147828  3.779002
1.147838  3.741239
1.147849  3.801879
1.147859  3.879680
1.147870  3.983844
1.147880  4.011964
1.147891  4.182467
1.147901  4.314130
1.147912  4.410524
1.147926  4.407360
1.147940  4.413428
1.147954  4.344818
1.147964  4.283019
1.147975  4.152792
1.147985  4.165339
1.147996  4.066881
1.148006  4.037429
1.148017  3.939146
1.148027  3.841289
1.148038  3.726761
1.148048  3.708754
1.148059  3.750698
1.148069  3.872914
1.148080  4.103616
1.148091  4.181516
1.148101  4.236571
1.148112  4.288291
1.148122  4.377389
1.148133  4.410555
1.148143  4.408234
1.148154  4.343824
1.148164  4.319364
1.148180  4.145168
1.148196  4.047395
1.148206  4.005831
1.148217  3.924175
1.148227  3.903853
1.148238  3.938312
1.148248  4.086716
1.148259  4.182122
1.148270  4.303859
1.148280  4.378159
1.148291  4.475124
1.148301  4.442158
1.148312  4.535777
1.148322  4.506876
1.148333  4.411208
1.148343  4.241591
1.148354  4.122410
1.148364  3.989380
1.148375  3.842786
1.148385  3.639978
1.148396  3.556978
1.148406  3.262766
1.148417  3.220912
1.148434  3.617024
1.148447  4.238246
1.148459  4.361161
1.148470  4.387671
1.148480  4.422093
1.148491  4.404760
1.148501  4.441260
1.148512  4.412163
1.148522  4.335141
1.148533  4.209544
1.148544  4.146068
1.148554  4.074352
1.148565  4.022919
1.148575  3.933101
1.148586  3.804572
1.148596  3.647699
1.148617  3.092952
1.148649  3.854952
1.148660  4.024075
1.148670  4.011145
1.148681  3.970425
1.148694  3.947650
1.148708  4.064507
1.148723  3.955481
1.148734  3.760262
1.148744  3.452696
1.148755  3.389468
1.148765  3.331134
1.148776  3.388695
1.148787  3.455546
1.148797  3.612802
1.148808  3.744773
1.148818  3.888639
1.148829  4.000488
1.148839  4.162978
1.148850  4.087325
1.148861  3.864822
