# ================================================================
# FITS HEADER INFO for GJ876
# Extracted from: GJ876_Kband1_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 3881936  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 97038D  / 
# TDIM3      = (16173,6)  / 
# TTYPE4     = flux  / 
# TFORM4     = 97038D  / 
# TDIM4      = (16173,6)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 97038D  / 
# TDIM5      = (16173,6)  / 
# TTYPE6     = mask  / 
# TFORM6     = 97038K  / 
# TDIM6      = (16173,6)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 97038D  / 
# TDIM7      = (16173,6)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 3113663  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 376A  / 
# TDIM2      = (8,47)  / 
# TTYPE3     = wave  / 
# TFORM3     = 97290D  / 
# TDIM3      = (16215,6)  / 
# TTYPE4     = flux  / 
# TFORM4     = 97290D  / 
# TDIM4      = (16215,6)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 97290D  / 
# TDIM5      = (16215,6)  / 
# TTYPE6     = mask  / 
# TFORM6     = 97290K  / 
# TDIM6      = (16215,6)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 468017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 11700D  / 
# TDIM2      = (1950,6)  / 
# TTYPE3     = flux  / 
# TFORM3     = 11700D  / 
# TDIM3      = (1950,6)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 11700D  / 
# TDIM4      = (1950,6)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 11700D  / 
# TDIM5      = (1950,6)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 11700D  / 
# TDIM6      = (1950,6)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.976733  -0.000002
1.976811  0.794367
1.976829  0.883618
1.976849  0.843370
1.976867  0.843779
1.976887  0.812095
1.976908  0.692868
1.976964  0.701645
1.976983  0.708130
1.977044  0.810631
1.977060  0.763519
1.977079  0.778796
1.977098  0.766816
1.977117  0.748593
1.977136  0.760319
1.977156  0.773825
1.977175  0.751792
1.977194  0.720536
1.977213  0.727466
1.977232  0.730635
1.977252  0.746895
1.977271  0.762998
1.977290  0.760705
1.977309  0.743057
1.977329  0.729987
1.977352  0.738356
1.977374  0.729251
1.977390  0.753570
1.977415  0.728402
1.977434  0.714892
1.977453  0.710216
1.977472  0.716065
1.977492  0.699576
1.977511  0.690340
1.977530  0.699183
1.977549  0.682306
1.977568  0.655753
1.977588  0.648034
1.977607  0.646014
1.977626  0.640815
1.977645  0.627320
1.977664  0.646415
1.977683  0.642785
1.977702  0.618040
1.977722  0.605265
1.977741  0.586335
1.977760  0.512736
1.977779  0.517911
1.977798  0.530714
1.977837  0.544483
1.977856  0.580507
1.977875  0.597639
1.977895  0.597817
1.977914  0.590889
1.977933  0.579232
1.977952  0.567817
1.977976  0.552532
1.978077  0.282311
1.978096  0.292190
1.978134  0.391215
1.978169  0.545780
1.978192  0.538302
1.978211  0.551229
1.978230  0.568685
1.978250  0.576476
1.978269  0.593529
1.978288  0.598138
1.978307  0.604932
1.978326  0.620899
1.978345  0.626527
1.978365  0.641669
1.978384  0.650492
1.978403  0.661904
1.978422  0.664868
1.978441  0.673679
1.978461  0.679523
1.978480  0.679101
1.978499  0.659118
1.978518  0.656853
1.978537  0.655705
1.978557  0.652355
1.978576  0.617175
1.978595  0.653691
1.978620  0.525901
1.978662  0.645498
1.978685  0.678755
1.978710  0.692735
1.978729  0.680813
1.978749  0.672479
1.978767  0.663200
1.978787  0.670487
1.978806  0.683978
1.978825  0.722921
1.978844  0.751682
1.978864  0.765731
1.978883  0.763908
1.978902  0.779287
1.978921  0.776396
1.978940  0.770194
1.978960  0.774567
1.978979  0.776226
1.978998  0.781055
1.979017  0.771718
1.979036  0.773330
1.979056  0.773801
1.979075  0.778174
1.979094  0.785487
1.979113  0.769997
1.979132  0.746473
1.979151  0.736859
1.979171  0.744845
1.979190  0.762803
1.979209  0.795186
1.979228  0.802897
1.979247  0.820872
1.979271  0.820395
1.979295  0.812502
1.979315  0.796407
1.979334  0.789504
1.979353  0.750232
1.979372  0.699418
1.979391  0.691177
1.979410  0.724941
1.979430  0.735969
1.979449  0.724407
1.979468  0.758975
1.979487  0.790278
1.979506  0.789304
1.979526  0.736391
1.979545  0.721936
1.979564  0.764906
1.979583  0.806153
1.979602  0.793872
1.979622  0.732439
1.979641  0.689275
1.979660  0.709007
1.979679  0.757498
1.979698  0.803190
1.979718  0.795342
1.979737  0.748859
1.979756  0.714296
1.979775  0.714361
1.979794  0.759052
1.979813  0.747790
1.979832  0.727345
1.979852  0.636809
1.979871  0.444557
1.979890  0.272430
1.979928  0.531028
1.979954  0.677187
1.979976  0.670031
1.979987  0.574678
1.980103  0.562639
1.980121  0.610888
1.980140  0.683233
1.980159  0.718660
1.980178  0.759592
1.980197  0.793097
1.980217  0.809613
1.980236  0.802481
1.980255  0.712214
1.980274  0.597112
1.980293  0.528738
1.980313  0.549974
1.980332  0.660672
