# ================================================================
# FITS HEADER INFO for HD164259
# Extracted from: HD164259_Kband1_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 3881936  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 97038D  / 
# TDIM3      = (16173,6)  / 
# TTYPE4     = flux  / 
# TFORM4     = 97038D  / 
# TDIM4      = (16173,6)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 97038D  / 
# TDIM5      = (16173,6)  / 
# TTYPE6     = mask  / 
# TFORM6     = 97038K  / 
# TDIM6      = (16173,6)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 97038D  / 
# TDIM7      = (16173,6)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 3115231  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 97338D  / 
# TDIM3      = (16223,6)  / 
# TTYPE4     = flux  / 
# TFORM4     = 97338D  / 
# TDIM4      = (16223,6)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 97338D  / 
# TDIM5      = (16223,6)  / 
# TTYPE6     = mask  / 
# TFORM6     = 97338K  / 
# TDIM6      = (16223,6)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 468017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 11700D  / 
# TDIM2      = (1950,6)  / 
# TTYPE3     = flux  / 
# TFORM3     = 11700D  / 
# TDIM3      = (1950,6)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 11700D  / 
# TDIM4      = (1950,6)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 11700D  / 
# TDIM5      = (1950,6)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 11700D  / 
# TDIM6      = (1950,6)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
1.976567  -0.002379
1.976640  1.626367
1.976652  2.791787
1.976668  3.736742
1.976691  2.558728
1.976706  2.540820
1.976722  2.537402
1.976745  2.440283
1.976760  2.615569
1.976783  2.276077
1.976803  2.251098
1.976818  2.356363
1.976854  2.463482
1.976865  2.397865
1.976908  2.429083
1.976927  2.547703
1.976947  2.496849
1.976971  2.531263
1.976985  2.496902
1.977004  2.483696
1.977023  2.734707
1.977048  2.539856
1.977067  2.577923
1.977086  2.523839
1.977105  2.483788
1.977125  2.543328
1.977144  2.518101
1.977182  2.497098
1.977201  2.448967
1.977221  2.565427
1.977240  2.540955
1.977254  2.549552
1.977278  2.504926
1.977297  2.424845
1.977317  2.528130
1.977336  2.343325
1.977353  2.458578
1.977374  2.375396
1.977394  2.458463
1.977413  2.276728
1.977425  2.438604
1.977455  2.416950
1.977475  2.307934
1.977496  2.343871
1.977518  2.315825
1.977538  2.504901
1.977557  2.330063
1.977576  2.323979
1.977596  2.408100
1.977615  2.253471
1.977634  2.176479
1.977653  2.178112
1.977672  2.382238
1.977692  2.432049
1.977710  2.397665
1.977730  2.292422
1.977749  2.383442
1.977768  2.458455
1.977787  2.417691
1.977807  2.367164
1.977826  2.638575
1.977845  2.358628
1.977864  2.363647
1.977883  2.251009
1.977904  2.149620
1.977926  2.437610
1.977938  2.312773
1.977979  2.424103
1.977999  2.371421
1.978018  2.708018
1.978037  2.325724
1.978056  2.433535
1.978078  2.483661
1.978099  2.422005
1.978118  2.410877
1.978138  2.630252
1.978159  2.518484
1.978181  2.589249
1.978200  2.481907
1.978219  2.594792
1.978239  2.728191
1.978258  2.485160
1.978277  2.548868
1.978296  2.709581
1.978315  2.718901
1.978335  2.675846
1.978354  2.524272
1.978373  2.381811
1.978392  2.611255
1.978412  2.570446
1.978431  2.438963
1.978450  2.246414
1.978469  2.303500
1.978488  2.014687
1.978508  2.446772
1.978527  2.579947
1.978546  2.671280
1.978565  2.529290
1.978584  2.555325
1.978604  2.628774
1.978623  2.504189
1.978642  2.272382
1.978661  2.559346
1.978681  2.645169
1.978700  2.494572
1.978719  2.634785
1.978741  2.682235
1.978762  2.739967
1.978781  2.766528
1.978800  2.729190
1.978820  2.675040
1.978842  2.698368
1.978863  2.757481
1.978885  2.653413
1.978903  2.786808
1.978926  2.609159
1.978945  2.672867
1.978964  2.591621
1.978983  2.717699
1.979002  2.653965
1.979022  2.606454
1.979041  2.642278
1.979060  2.720579
1.979079  2.710968
1.979098  2.722728
1.979118  2.708527
1.979137  2.687056
1.979156  2.652620
1.979175  2.614292
1.979195  2.669220
1.979214  2.587541
1.979233  2.652530
1.979252  2.555941
1.979271  2.553740
1.979291  2.434556
1.979312  2.461335
1.979334  2.554972
1.979353  2.618976
1.979372  2.625681
1.979391  2.709590
1.979411  2.715802
1.979430  2.718601
1.979451  2.681288
1.979473  2.667380
1.979492  2.668974
1.979511  2.691802
1.979532  2.681210
1.979554  2.663637
1.979574  2.575968
1.979593  2.507592
1.979612  2.448865
1.979631  2.497902
1.979651  2.542405
1.979670  2.480214
1.979689  2.388560
1.979708  1.970753
1.979728  1.595212
1.979746  1.570204
1.979766  2.029414
1.979785  2.318589
1.979804  2.480360
1.979824  2.380865
1.979843  2.157317
1.979861  1.943581
1.979880  0.880031
