# ================================================================
# FITS HEADER INFO for GL745A
# Extracted from: GL745A_Kband3_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1803616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 45080D  / 
# TDIM3      = (11270,4)  / 
# TTYPE4     = flux  / 
# TFORM4     = 45080D  / 
# TDIM4      = (11270,4)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 45080D  / 
# TDIM5      = (11270,4)  / 
# TTYPE6     = mask  / 
# TFORM6     = 45080K  / 
# TDIM6      = (11270,4)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 45080D  / 
# TDIM7      = (11270,4)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1442975  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 45080D  / 
# TDIM3      = (11270,4)  / 
# TTYPE4     = flux  / 
# TFORM4     = 45080D  / 
# TDIM4      = (11270,4)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 45080D  / 
# TDIM5      = (11270,4)  / 
# TTYPE6     = mask  / 
# TFORM6     = 45080K  / 
# TDIM6      = (11270,4)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 312017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 7800D  / 
# TDIM2      = (1950,4)  / 
# TTYPE3     = flux  / 
# TFORM3     = 7800D  / 
# TDIM3      = (1950,4)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 7800D  / 
# TDIM4      = (1950,4)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 7800D  / 
# TDIM5      = (1950,4)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 7800D  / 
# TDIM6      = (1950,4)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
2.208989  -0.000756
2.209012  -0.000930
2.209027  0.000980
2.209069  0.058180
2.209160  0.096839
2.209181  0.101889
2.209201  0.095443
2.209226  0.086403
2.209254  0.083571
2.209283  0.094337
2.209304  0.101621
2.209324  0.105638
2.209345  0.108116
2.209365  0.111226
2.209385  0.115988
2.209406  0.117911
2.209427  0.119744
2.209447  0.120807
2.209468  0.119074
2.209488  0.119858
2.209509  0.120331
2.209529  0.121519
2.209556  0.122374
2.209584  0.123197
2.209611  0.124171
2.209632  0.127364
2.209652  0.125995
2.209673  0.126753
2.209693  0.125192
2.209714  0.125417
2.209734  0.124866
2.209755  0.124635
2.209775  0.122251
2.209796  0.124186
2.209816  0.122947
2.209843  0.123413
2.209867  0.124621
2.209888  0.122115
2.209908  0.124558
2.209934  0.126365
2.209960  0.127236
2.209981  0.127547
2.210001  0.124726
2.210022  0.123933
2.210042  0.126156
2.210063  0.123690
2.210084  0.124591
2.210104  0.123657
2.210125  0.126692
2.210151  0.127070
2.210176  0.127594
2.210196  0.124870
2.210217  0.125803
2.210237  0.126531
2.210261  0.128293
2.210286  0.127187
2.210310  0.125026
2.210331  0.120889
2.210351  0.121184
2.210372  0.122618
2.210392  0.124069
2.210413  0.124826
2.210433  0.124618
2.210454  0.123837
2.210480  0.123086
2.210505  0.123741
2.210526  0.128265
2.210546  0.126421
2.210567  0.124099
2.210588  0.123497
2.210611  0.123725
2.210636  0.125839
2.210660  0.124840
2.210681  0.125781
2.210701  0.125518
2.210722  0.128471
2.210742  0.128224
2.210763  0.129319
2.210789  0.127736
2.210814  0.124226
2.210835  0.123355
2.210855  0.120512
2.210876  0.121704
2.210897  0.122336
2.210917  0.125842
2.210938  0.124368
2.210959  0.124808
2.210985  0.125319
2.211010  0.128706
2.211031  0.129090
2.211052  0.127614
2.211073  0.126051
2.211093  0.125586
2.211118  0.126761
2.211144  0.126768
2.211165  0.127323
2.211185  0.127430
2.211206  0.123169
2.211227  0.122586
2.211248  0.120764
2.211268  0.124088
2.211289  0.124072
2.211310  0.121443
2.211330  0.119222
2.211357  0.121651
2.211382  0.124510
2.211403  0.126276
2.211424  0.124261
2.211444  0.124722
2.211469  0.124229
2.211496  0.124154
2.211516  0.124847
2.211537  0.124764
2.211558  0.121062
2.211578  0.119542
2.211599  0.118942
2.211619  0.120494
2.211640  0.123490
2.211661  0.124327
2.211682  0.125690
2.211706  0.124494
2.211731  0.125732
2.211755  0.125094
2.211775  0.126491
2.211800  0.127769
2.211827  0.129659
2.211847  0.127973
2.211868  0.127514
2.211889  0.127507
2.211909  0.130031
2.211930  0.129585
2.211951  0.128728
2.211972  0.128689
2.211993  0.126964
2.212013  0.123628
2.212034  0.123542
2.212055  0.123434
2.212079  0.126592
2.212104  0.126482
2.212128  0.126918
2.212148  0.124123
2.212173  0.123023
2.212200  0.125156
2.212220  0.127779
2.212241  0.129696
2.212262  0.130330
2.212283  0.132373
2.212304  0.131062
2.212324  0.129313
2.212345  0.130299
2.212366  0.129559
2.212387  0.129902
2.212407  0.128823
2.212428  0.128733
2.212448  0.130039
2.212473  0.130873
2.212499  0.130649
2.212525  0.130115
2.212552  0.127280
2.212574  0.126659
2.212594  0.130446
2.212615  0.129080
2.212636  0.130652
2.212656  0.130472
2.212677  0.131353
2.212698  0.128881
2.212719  0.128954
2.212740  0.129111
2.212761  0.130432
2.212781  0.128701
2.212802  0.127668
2.212823  0.125277
2.212843  0.122950
2.212868  0.125445
2.212896  0.131260
2.212923  0.130487
2.212948  0.128718
2.212969  0.125109
2.212989  0.125725
2.213010  0.126294
2.213031  0.122966
2.213051  0.123902
2.213073  0.126513
2.213094  0.128988
2.213114  0.127737
2.213135  0.129912
2.213156  0.129475
2.213177  0.128442
2.213198  0.129410
2.213218  0.132107
2.213239  0.131515
2.213260  0.131376
2.213291  0.128345
2.213322  0.126677
2.213343  0.127114
2.213364  0.128710
2.213385  0.127060
2.213406  0.128203
2.213427  0.127852
2.213448  0.127552
2.213468  0.125568
2.213489  0.123230
2.213510  0.123271
2.213531  0.125293
2.213552  0.125722
2.213573  0.126444
2.213594  0.126211
2.213615  0.127362
2.213635  0.128092
2.213656  0.130142
2.213681  0.130056
2.213710  0.128026
2.213740  0.127277
2.213761  0.128917
2.213781  0.129124
2.213802  0.127848
2.213823  0.128339
2.213844  0.130569
2.213865  0.129476
2.213886  0.128729
2.213907  0.127392
2.213928  0.128345
2.213949  0.129377
2.213969  0.129001
2.213990  0.129363
2.214011  0.130065
2.214033  0.126832
2.214053  0.125795
2.214074  0.125609
2.214098  0.129447
2.214126  0.130432
2.214153  0.128879
2.214178  0.128786
2.214199  0.130627
2.214220  0.130260
2.214241  0.128287
2.214262  0.126628
2.214283  0.125672
2.214304  0.129116
2.214325  0.128365
2.214346  0.129514
2.214367  0.130627
2.214388  0.129734
2.214409  0.130016
2.214429  0.128699
2.214451  0.130125
2.214471  0.132138
2.214492  0.133587
2.214513  0.133033
2.214534  0.132104
2.214566  0.133836
2.214597  0.133791
2.214618  0.132425
2.214639  0.131007
2.214660  0.130701
2.214681  0.129764
2.214702  0.130603
2.214723  0.130378
2.214744  0.130207
2.214765  0.129002
2.214786  0.130350
2.214807  0.131144
2.214828  0.131545
2.214849  0.129960
2.214870  0.127528
2.214891  0.125406
2.214912  0.126780
2.214933  0.127473
2.214954  0.128363
2.214974  0.129261
2.215000  0.128000
2.215027  0.127768
2.215054  0.127936
2.215080  0.128229
2.215101  0.131074
2.215122  0.132731
2.215143  0.132833
2.215164  0.130584
2.215185  0.130164
2.215205  0.128145
2.215227  0.130419
2.215248  0.129929
2.215269  0.129954
2.215290  0.128645
2.215311  0.130130
2.215332  0.132272
2.215353  0.131366
2.215374  0.130115
2.215395  0.131005
2.215416  0.132377
2.215437  0.131866
2.215458  0.128950
2.215488  0.129048
2.215517  0.132074
2.215542  0.129781
2.215563  0.128425
2.215584  0.129683
2.215605  0.129537
2.215626  0.129966
2.215647  0.131029
2.215668  0.131532
2.215689  0.132306
2.215710  0.132103
2.215731  0.129376
2.215752  0.127796
2.215773  0.125686
2.215794  0.128870
2.215816  0.130645
2.215837  0.130074
2.215858  0.127999
2.215879  0.129100
2.215900  0.129680
2.215921  0.126186
2.215942  0.125292
2.215967  0.125817
2.215996  0.126870
2.216026  0.121928
2.216047  0.122126
2.216068  0.124987
2.216089  0.126616
2.216110  0.129167
2.216132  0.132466
2.216153  0.129289
2.216174  0.125822
2.216195  0.123832
2.216216  0.126731
