# ================================================================
# FITS HEADER INFO for GL555
# Extracted from: GL555_Kband4_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1923616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 48080D  / 
# TDIM3      = (12020,4)  / 
# TTYPE4     = flux  / 
# TFORM4     = 48080D  / 
# TDIM4      = (12020,4)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 48080D  / 
# TDIM5      = (12020,4)  / 
# TTYPE6     = mask  / 
# TFORM6     = 48080K  / 
# TDIM6      = (12020,4)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 48080D  / 
# TDIM7      = (12020,4)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1538847  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 48076D  / 
# TDIM3      = (12019,4)  / 
# TTYPE4     = flux  / 
# TFORM4     = 48076D  / 
# TDIM4      = (12019,4)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 48076D  / 
# TDIM5      = (12019,4)  / 
# TTYPE6     = mask  / 
# TFORM6     = 48076K  / 
# TDIM6      = (12019,4)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 312017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 7800D  / 
# TDIM2      = (1950,4)  / 
# TTYPE3     = flux  / 
# TFORM3     = 7800D  / 
# TDIM3      = (1950,4)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 7800D  / 
# TDIM4      = (1950,4)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 7800D  / 
# TDIM5      = (1950,4)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 7800D  / 
# TDIM6      = (1950,4)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
2.246113  -0.006467
2.246165  -0.078791
2.246214  0.017606
2.246219  0.021062
2.246273  0.220251
2.246290  0.233004
2.246309  0.230909
2.246331  0.224306
2.246351  0.224400
2.246370  0.233997
2.246389  0.237997
2.246409  0.242938
2.246428  0.244956
2.246448  0.245518
2.246468  0.241334
2.246490  0.243724
2.246512  0.246082
2.246534  0.245004
2.246558  0.242269
2.246580  0.239134
2.246600  0.235733
2.246619  0.231456
2.246639  0.227959
2.246660  0.225823
2.246683  0.230196
2.246702  0.221459
2.246722  0.214983
2.246741  0.220229
2.246761  0.234695
2.246780  0.246088
2.246800  0.245894
2.246820  0.242964
2.246839  0.242921
2.246858  0.243110
2.246882  0.239488
2.246905  0.230287
2.246928  0.214916
2.246949  0.194156
2.246971  0.182919
2.246991  0.198351
2.247011  0.213006
2.247032  0.214187
2.247055  0.200931
2.247074  0.182159
2.247093  0.178892
2.247113  0.193412
2.247132  0.209371
2.247152  0.219657
2.247172  0.232991
2.247191  0.241739
2.247211  0.244501
2.247231  0.245044
2.247250  0.241921
2.247273  0.234899
2.247297  0.227640
2.247321  0.225523
2.247344  0.225486
2.247363  0.234038
2.247383  0.237260
2.247403  0.236473
2.247424  0.234665
2.247446  0.236240
2.247466  0.241117
2.247485  0.242144
2.247505  0.243551
2.247525  0.242620
2.247544  0.242258
2.247564  0.242088
2.247584  0.242511
2.247603  0.240416
2.247623  0.241334
2.247643  0.246934
2.247665  0.245070
2.247686  0.239957
2.247711  0.233444
2.247736  0.230606
2.247755  0.231493
2.247776  0.230492
2.247795  0.225199
2.247816  0.225154
2.247839  0.231200
2.247858  0.238267
2.247878  0.240835
2.247898  0.242430
2.247917  0.244589
2.247937  0.245636
2.247956  0.246917
2.247976  0.246442
2.247996  0.248960
2.248015  0.246987
2.248035  0.243307
2.248055  0.243758
2.248078  0.241932
2.248102  0.241199
2.248126  0.240423
2.248148  0.240162
2.248168  0.239832
2.248188  0.240517
2.248208  0.239674
2.248229  0.242355
2.248251  0.245195
2.248271  0.242153
2.248291  0.238798
2.248310  0.232811
2.248330  0.227139
2.248350  0.217893
2.248369  0.213515
2.248389  0.226335
2.248409  0.238981
2.248428  0.241280
2.248448  0.243223
2.248468  0.242704
2.248487  0.238253
2.248510  0.238562
2.248536  0.238726
2.248561  0.243389
2.248581  0.244471
2.248601  0.243404
2.248620  0.241825
2.248642  0.239520
2.248664  0.235870
2.248684  0.238884
2.248704  0.240608
2.248723  0.242691
2.248743  0.240102
2.248763  0.239441
2.248783  0.242093
2.248802  0.242357
2.248822  0.241833
2.248842  0.240241
2.248861  0.239446
2.248881  0.239446
2.248901  0.240800
2.248920  0.241976
2.248946  0.238097
2.248972  0.235403
2.248994  0.232768
2.249014  0.232733
2.249034  0.235761
2.249054  0.241216
2.249075  0.245441
2.249098  0.242381
2.249117  0.240522
2.249137  0.240130
2.249157  0.241187
2.249177  0.244231
2.249196  0.244763
2.249216  0.245565
2.249236  0.249164
2.249255  0.245305
2.249275  0.243738
2.249295  0.241584
2.249315  0.241740
2.249334  0.241749
2.249354  0.241105
2.249374  0.235895
2.249400  0.233200
2.249425  0.235699
2.249448  0.237710
2.249468  0.234954
2.249488  0.226494
2.249509  0.219229
2.249532  0.224401
2.249552  0.231595
2.249571  0.224415
