# ================================================================
# FITS HEADER INFO for GL745A
# Extracted from: GL745A_Lband1_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 2494616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 62355D  / 
# TDIM3      = (20785,3)  / 
# TTYPE4     = flux  / 
# TFORM4     = 62355D  / 
# TDIM4      = (20785,3)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 62355D  / 
# TDIM5      = (20785,3)  / 
# TTYPE6     = mask  / 
# TFORM6     = 62355K  / 
# TDIM6      = (20785,3)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 62355D  / 
# TDIM7      = (20785,3)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1996159  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 62367D  / 
# TDIM3      = (20789,3)  / 
# TTYPE4     = flux  / 
# TFORM4     = 62367D  / 
# TDIM4      = (20789,3)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 62367D  / 
# TDIM5      = (20789,3)  / 
# TTYPE6     = mask  / 
# TFORM6     = 62367K  / 
# TDIM6      = (20789,3)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 234017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 5850D  / 
# TDIM2      = (1950,3)  / 
# TTYPE3     = flux  / 
# TFORM3     = 5850D  / 
# TDIM3      = (1950,3)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 5850D  / 
# TDIM4      = (1950,3)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 5850D  / 
# TDIM5      = (1950,3)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 5850D  / 
# TDIM6      = (1950,3)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
2.882398  0.000083
2.882426  -0.000690
2.882451  0.000237
2.882474  0.002422
2.882627  0.026911
2.882654  0.041047
2.882682  0.048811
2.882710  0.051546
2.882738  0.052880
2.882772  0.053509
2.882808  0.050124
2.882836  0.048827
2.882863  0.047383
2.882891  0.047312
2.882919  0.047793
2.882946  0.043226
2.882974  0.033967
2.883002  0.024484
2.883029  0.014192
2.883057  0.008342
2.883085  0.012357
2.883113  0.024490
2.883140  0.036760
2.883172  0.042135
2.883205  0.043941
2.883236  0.048142
2.883264  0.050262
2.883292  0.051089
2.883319  0.049109
2.883347  0.043542
2.883375  0.033606
2.883402  0.024347
2.883437  0.028943
2.883473  0.040985
2.883501  0.045861
2.883529  0.047928
2.883556  0.048839
2.883584  0.051418
2.883612  0.056136
2.883640  0.057811
2.883667  0.056380
2.883695  0.056844
2.883723  0.058111
2.883751  0.055765
2.883778  0.055954
2.883806  0.056800
2.883834  0.055498
2.883865  0.050606
2.883899  0.039159
2.883930  0.030198
2.883957  0.026861
2.883985  0.028937
2.884013  0.031549
2.884041  0.036221
2.884069  0.038325
2.884096  0.034245
2.884131  0.030348
2.884167  0.022136
2.884194  0.012752
2.884222  0.004837
2.884250  0.002229
2.884278  0.004977
2.884306  0.011591
2.884333  0.013623
2.884361  0.012528
2.884389  0.006490
2.884417  0.003076
2.884444  0.000083
2.884472  0.000501
2.884500  0.001264
2.884529  0.006337
2.884560  0.015583
2.884593  0.022069
2.884624  0.026677
2.884652  0.028879
2.884680  0.033545
2.884707  0.039387
2.884735  0.048141
2.884763  0.056370
2.884791  0.060496
2.884823  0.059889
2.884857  0.056135
2.884890  0.053355
2.884917  0.054930
2.884945  0.055576
2.884973  0.050310
2.885000  0.039332
2.885028  0.028344
2.885056  0.013943
2.885084  0.005714
2.885112  0.004913
2.885139  0.009776
2.885167  0.021389
2.885195  0.034993
2.885223  0.043741
2.885251  0.046123
2.885283  0.052986
2.885316  0.057911
2.885347  0.057734
2.885375  0.055156
2.885403  0.055930
2.885431  0.052056
2.885458  0.048442
2.885486  0.051893
2.885514  0.061305
2.885542  0.066658
2.885574  0.066413
2.885608  0.064996
2.885641  0.062526
2.885669  0.065608
2.885696  0.066213
2.885725  0.060819
2.885752  0.058171
2.885780  0.057900
2.885807  0.056774
2.885836  0.052650
2.885864  0.041873
2.885891  0.027254
2.885919  0.021086
2.885947  0.030105
2.885975  0.039600
2.886003  0.040668
2.886035  0.040526
2.886068  0.043315
2.886099  0.045616
2.886127  0.042015
2.886154  0.040714
2.886183  0.047918
2.886211  0.051543
2.886238  0.048723
2.886266  0.045181
2.886294  0.035027
2.886326  0.027695
2.886360  0.039497
2.886393  0.050852
2.886421  0.053890
2.886449  0.055011
2.886477  0.051129
2.886504  0.045448
2.886532  0.034118
2.886560  0.027196
2.886589  0.032115
2.886616  0.042037
2.886644  0.049803
2.886672  0.051387
2.886700  0.045779
2.886728  0.036612
2.886753  0.025341
2.886787  0.024171
2.886821  0.039598
2.886852  0.051443
2.886880  0.052814
2.886908  0.048331
2.886936  0.050595
2.886964  0.057260
2.886992  0.059593
2.887020  0.057311
2.887048  0.054094
2.887075  0.052607
2.887103  0.050602
2.887138  0.048154
2.887174  0.053807
2.887202  0.061752
2.887230  0.063831
2.887258  0.062257
