# ================================================================
# FITS HEADER INFO for HD199381
# Extracted from: HD199381_Lband1_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 2494616  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 62355D  / 
# TDIM3      = (20785,3)  / 
# TTYPE4     = flux  / 
# TFORM4     = 62355D  / 
# TDIM4      = (20785,3)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 62355D  / 
# TDIM5      = (20785,3)  / 
# TTYPE6     = mask  / 
# TFORM6     = 62355K  / 
# TDIM6      = (20785,3)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 62355D  / 
# TDIM7      = (20785,3)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1997695  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 62415D  / 
# TDIM3      = (20805,3)  / 
# TTYPE4     = flux  / 
# TFORM4     = 62415D  / 
# TDIM4      = (20805,3)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 62415D  / 
# TDIM5      = (20805,3)  / 
# TTYPE6     = mask  / 
# TFORM6     = 62415K  / 
# TDIM6      = (20805,3)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 234017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 5850D  / 
# TDIM2      = (1950,3)  / 
# TTYPE3     = flux  / 
# TFORM3     = 5850D  / 
# TDIM3      = (1950,3)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 5850D  / 
# TDIM4      = (1950,3)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 5850D  / 
# TDIM5      = (1950,3)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 5850D  / 
# TDIM6      = (1950,3)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
2.882505  0.001082
2.882543  -0.000408
2.882582  0.009957
2.882725  0.129399
2.882752  0.235159
2.882770  0.278943
2.882804  0.348889
2.882832  0.356373
2.882861  0.363478
2.882888  0.374798
2.882916  0.375123
2.882943  0.382667
2.882971  0.388325
2.882999  0.376762
2.883027  0.357864
2.883054  0.330666
2.883082  0.283487
2.883110  0.211803
2.883140  0.117603
2.883166  0.061450
2.883192  0.066464
2.883230  0.154073
2.883264  0.249625
2.883291  0.308041
2.883318  0.342617
2.883346  0.352308
2.883373  0.360554
2.883401  0.353069
2.883435  0.338549
2.883466  0.298826
2.883494  0.229595
2.883522  0.145906
2.883552  0.177502
2.883582  0.275560
2.883609  0.314232
2.883636  0.342964
2.883664  0.363426
2.883692  0.364770
2.883719  0.365652
2.883747  0.362376
2.883775  0.348292
2.883803  0.343158
2.883831  0.365275
2.883862  0.391746
2.883893  0.394139
2.883924  0.381981
2.883956  0.357668
2.883984  0.317308
2.884012  0.254588
2.884040  0.187124
2.884067  0.144488
2.884099  0.192821
2.884135  0.259956
2.884163  0.298178
2.884191  0.298050
2.884219  0.280918
2.884247  0.245947
2.884276  0.177913
2.884304  0.099284
2.884330  0.040536
2.884358  0.012606
2.884385  0.018441
2.884413  0.047098
2.884441  0.071947
2.884469  0.066823
2.884492  0.048136
2.884523  0.017390
2.884552  0.003756
2.884580  0.002208
2.884608  0.004647
2.884641  0.028810
2.884669  0.077861
2.884707  0.157906
2.884733  0.218013
2.884762  0.253171
2.884790  0.272864
2.884817  0.289244
2.884850  0.322240
2.884886  0.347897
2.884914  0.356820
2.884941  0.370790
2.884969  0.365396
2.884996  0.366576
2.885025  0.348736
2.885052  0.341383
2.885080  0.320278
2.885108  0.274923
2.885136  0.203305
2.885166  0.113631
2.885194  0.043963
2.885224  0.018722
2.885252  0.043953
2.885275  0.092703
2.885310  0.201418
2.885332  0.246923
2.885366  0.278189
2.885401  0.340709
2.885429  0.378374
2.885457  0.392235
2.885485  0.398870
2.885513  0.400798
2.885540  0.417119
2.885571  0.427640
2.885599  0.427371
2.885630  0.425690
2.885665  0.406635
2.885692  0.386422
2.885720  0.376177
2.885748  0.395572
2.885776  0.417421
2.885804  0.419376
2.885832  0.418269
2.885860  0.406372
2.885887  0.396659
2.885915  0.383798
2.885943  0.365411
2.885971  0.321304
2.885998  0.251836
2.886029  0.157133
2.886059  0.212406
2.886092  0.324486
2.886126  0.377291
2.886153  0.394333
2.886181  0.383295
2.886209  0.376213
2.886237  0.388011
2.886264  0.409059
2.886292  0.413301
2.886320  0.411144
2.886352  0.388944
2.886383  0.340515
2.886414  0.225401
2.886445  0.157594
2.886476  0.230264
2.886500  0.316971
2.886527  0.366980
2.886557  0.382125
2.886584  0.383247
2.886612  0.369738
2.886641  0.340460
2.886668  0.283904
2.886696  0.271123
2.886723  0.324639
2.886751  0.360209
2.886779  0.372821
2.886808  0.353571
2.886834  0.299563
2.886869  0.193221
2.886902  0.178094
2.886934  0.276385
2.886963  0.336344
2.886989  0.375362
2.887017  0.384956
2.887046  0.389271
2.887074  0.392739
2.887102  0.385294
2.887129  0.392655
2.887160  0.392493
2.887194  0.396108
2.887226  0.400144
2.887254  0.400414
2.887282  0.399727
2.887309  0.394944
2.887337  0.389632
2.887366  0.386651
