# ================================================================
# FITS HEADER INFO for GJ876
# Extracted from: GJ876_Lband2_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1459296  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 36472D  / 
# TDIM3      = (18236,2)  / 
# TTYPE4     = flux  / 
# TFORM4     = 36472D  / 
# TDIM4      = (18236,2)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 36472D  / 
# TDIM5      = (18236,2)  / 
# TTYPE6     = mask  / 
# TFORM6     = 36472K  / 
# TDIM6      = (18236,2)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 36472D  / 
# TDIM7      = (18236,2)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1167359  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 376A  / 
# TDIM2      = (8,47)  / 
# TTYPE3     = wave  / 
# TFORM3     = 36468D  / 
# TDIM3      = (18234,2)  / 
# TTYPE4     = flux  / 
# TFORM4     = 36468D  / 
# TDIM4      = (18234,2)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 36468D  / 
# TDIM5      = (18234,2)  / 
# TTYPE6     = mask  / 
# TFORM6     = 36468K  / 
# TDIM6      = (18234,2)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 156017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 3900D  / 
# TDIM2      = (1950,2)  / 
# TTYPE3     = flux  / 
# TFORM3     = 3900D  / 
# TDIM3      = (1950,2)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 3900D  / 
# TDIM4      = (1950,2)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 3900D  / 
# TDIM5      = (1950,2)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 3900D  / 
# TDIM6      = (1950,2)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
2.939639  -0.000033
2.939665  -0.000037
2.939715  -0.000177
2.939727  0.004721
2.939744  0.035818
2.939819  0.076067
2.939845  0.082969
2.939873  0.094467
2.939950  0.119236
2.939973  0.111145
2.939999  0.109562
2.940025  0.102501
2.940050  0.096096
2.940076  0.086352
2.940318  0.122330
2.940344  0.122722
2.940370  0.117673
2.940395  0.109176
2.940421  0.099106
2.940453  0.096209
2.940539  0.038701
2.940642  0.082090
2.940667  0.096997
2.940727  0.138986
2.940756  0.130467
2.940779  0.105255
2.940807  0.105390
2.940833  0.104326
2.940856  0.092073
2.940882  0.082092
2.940961  0.122573
2.940987  0.130502
2.941013  0.135512
2.941039  0.132613
2.941065  0.122218
2.941091  0.115185
2.941116  0.114967
2.941142  0.116515
2.941168  0.118069
2.941203  0.121691
2.941238  0.120180
2.941271  0.122698
2.941297  0.123173
2.941323  0.116208
2.941349  0.088031
2.941374  0.087978
2.941400  0.085195
2.941426  0.088209
2.941452  0.092279
2.941477  0.096555
2.941503  0.099058
2.941529  0.098210
2.941555  0.098467
2.941580  0.109882
2.941606  0.119118
2.941632  0.122873
2.941658  0.117628
2.941684  0.108211
2.941709  0.101799
2.941735  0.093993
2.941768  0.090099
2.941790  0.102066
2.941824  0.117226
2.941849  0.123937
2.941875  0.133295
2.941901  0.142416
2.941927  0.143710
2.941960  0.140321
2.941998  0.108603
2.942023  0.096503
2.942045  0.101315
2.942071  0.100977
2.942097  0.101696
2.942123  0.102663
2.942149  0.108437
2.942175  0.117341
2.942200  0.124494
2.942226  0.134199
2.942252  0.141433
2.942278  0.144563
2.942304  0.144789
2.942330  0.139169
2.942361  0.130630
2.942387  0.108763
2.942418  0.094274
2.942452  0.075984
2.942470  0.046044
2.942490  0.045543
2.942548  0.075578
2.942581  0.087450
2.942599  0.110673
2.942625  0.107165
2.942651  0.100663
2.942677  0.111175
2.942703  0.122802
2.942737  0.110623
2.942770  0.097199
2.942796  0.096307
2.942821  0.105550
2.942847  0.119459
2.942873  0.130230
2.942899  0.134636
2.942925  0.131705
2.942955  0.130102
2.942988  0.132456
2.943014  0.130246
2.943039  0.130498
2.943065  0.133313
2.943091  0.136130
2.943117  0.130541
2.943143  0.123271
2.943169  0.113807
2.943195  0.110320
2.943221  0.113762
2.943247  0.119360
2.943272  0.114048
2.943299  0.106220
2.943324  0.108038
2.943350  0.107599
2.943376  0.101865
2.943402  0.095895
2.943428  0.085166
2.943454  0.075685
2.943480  0.071362
2.943515  0.060412
2.943547  0.048261
2.943573  0.042739
2.943602  0.038075
2.943635  0.033624
2.943660  0.022929
2.943686  0.013243
2.943712  0.006215
2.943739  0.002756
2.943765  0.001127
2.943791  0.000810
2.943817  0.000087
2.943843  0.000178
2.943869  0.000269
2.943895  0.000048
2.943921  -0.000388
2.943947  0.000645
2.943973  0.001038
2.943999  0.002171
2.944025  0.006614
2.944051  0.010080
2.944076  0.018045
2.944102  0.028484
2.944129  0.041355
2.944155  0.044352
2.944181  0.046176
2.944207  0.055228
2.944233  0.062777
2.944258  0.065147
2.944292  0.079581
2.944322  0.095648
2.944354  0.089447
2.944389  0.088592
2.944415  0.097543
2.944441  0.105283
2.944467  0.098490
2.944493  0.086272
2.944519  0.080928
2.944545  0.081994
2.944571  0.087246
2.944597  0.098749
2.944623  0.109107
2.944649  0.109945
2.944675  0.106046
2.944701  0.099067
2.944727  0.080149
2.944754  0.050611
2.944779  0.034627
2.944804  0.040423
2.944832  0.054625
2.944857  0.067935
2.944883  0.081379
2.944909  0.099910
2.944935  0.112444
2.944961  0.118531
2.944994  0.112684
2.945024  0.100637
2.945050  0.100540
2.945076  0.113457
2.945102  0.121136
2.945128  0.122867
2.945154  0.121827
2.945187  0.113613
2.945221  0.098976
2.945247  0.103748
2.945273  0.114493
2.945299  0.114852
2.945325  0.112076
2.945351  0.112544
2.945377  0.119332
2.945403  0.125892
2.945430  0.125870
2.945456  0.125685
2.945482  0.128700
2.945508  0.134684
2.945534  0.138857
2.945560  0.134330
2.945586  0.127582
2.945612  0.119101
2.945638  0.116422
2.945664  0.121347
2.945690  0.126552
2.945716  0.132012
2.945743  0.132063
2.945775  0.137553
2.945806  0.128875
2.945832  0.115288
2.945858  0.118347
2.945884  0.125968
2.945910  0.127751
2.945936  0.123849
2.945962  0.128193
2.945988  0.135178
2.946014  0.135271
2.946040  0.132337
2.946073  0.128483
2.946107  0.131490
2.946133  0.131286
2.946159  0.135161
2.946186  0.140347
2.946212  0.141946
2.946238  0.134703
2.946264  0.123715
2.946290  0.115542
2.946316  0.114364
2.946342  0.122114
2.946368  0.129030
2.946395  0.131560
2.946421  0.132594
2.946447  0.127043
2.946473  0.120014
2.946499  0.110193
2.946525  0.104842
2.946551  0.116062
2.946583  0.122449
2.946608  0.107388
2.946636  0.083362
2.946666  0.081743
2.946693  0.095917
2.946719  0.098594
2.946745  0.094946
2.946771  0.088529
2.946797  0.083564
2.946823  0.084892
2.946850  0.090354
2.946876  0.092848
2.946902  0.099691
2.946928  0.110061
2.946954  0.116145
2.946988  0.116018
2.947021  0.099768
2.947049  0.080017
2.947074  0.066018
2.947100  0.065670
2.947126  0.069247
2.947152  0.069038
2.947178  0.064137
2.947204  0.060844
2.947231  0.053177
2.947257  0.051912
2.947283  0.057742
2.947309  0.057877
2.947335  0.057863
2.947361  0.055805
2.947388  0.045901
2.947414  0.034616
2.947445  0.018491
2.947472  0.011186
2.947503  0.002767
2.947529  0.001282
2.947555  0.000801
2.947582  -0.000110
2.947608  0.000207
2.947634  0.000341
2.947660  0.000669
2.947686  0.000495
2.947712  0.000392
2.947739  0.000234
2.947765  -0.000246
2.947791  0.000613
2.947817  0.000664
2.947843  0.001270
2.947870  0.000831
2.947896  0.000453
2.947930  0.000464
2.947963  0.000287
2.947989  -0.000394
2.948016  0.000372
2.948042  0.000338
2.948068  0.000550
2.948094  0.002064
2.948121  0.008335
2.948147  0.018427
2.948173  0.032251
2.948199  0.045861
2.948225  0.053184
2.948252  0.056422
2.948278  0.055895
2.948304  0.062700
2.948330  0.063043
2.948357  0.061861
2.948383  0.073197
2.948415  0.095619
2.948447  0.098546
2.948472  0.089804
2.948499  0.082544
2.948525  0.078861
2.948551  0.079347
2.948578  0.081619
2.948604  0.071756
2.948630  0.067192
2.948656  0.074478
2.948682  0.071360
2.948708  0.064625
2.948735  0.056484
2.948758  0.043590
2.948787  0.024834
2.948822  0.040686
2.948846  0.064497
2.948866  0.068698
2.948892  0.066953
2.948926  0.060770
2.948960  0.069570
2.948986  0.082142
2.949012  0.088018
2.949039  0.100407
2.949065  0.117080
2.949091  0.130795
2.949117  0.139484
2.949144  0.140037
2.949170  0.131409
2.949196  0.120580
2.949222  0.121125
2.949249  0.122899
2.949275  0.118638
2.949301  0.109371
2.949327  0.101889
2.949354  0.111370
2.949385  0.130156
2.949417  0.126207
2.949444  0.118606
2.949470  0.123452
2.949496  0.133666
2.949522  0.137243
2.949549  0.136790
2.949575  0.132110
2.949601  0.129921
2.949628  0.135427
2.949654  0.140476
2.949680  0.141272
2.949707  0.123322
2.949734  0.097647
2.949759  0.093388
2.949785  0.109108
2.949811  0.126075
2.949838  0.136364
2.949864  0.137692
2.949890  0.135849
2.949917  0.139200
2.949943  0.140897
2.949969  0.143997
2.950003  0.142404
2.950037  0.135431
2.950063  0.131805
2.950090  0.127820
2.950116  0.122202
2.950142  0.119364
2.950169  0.115205
2.950195  0.123910
2.950221  0.128741
2.950248  0.123694
2.950274  0.117381
2.950300  0.116036
2.950326  0.118512
2.950353  0.122212
2.950379  0.124412
2.950406  0.124220
2.950432  0.119990
2.950458  0.123281
2.950490  0.134416
2.950522  0.131743
2.950548  0.118844
2.950575  0.110803
2.950601  0.112939
2.950627  0.120644
2.950653  0.125194
2.950680  0.117432
2.950706  0.103660
2.950733  0.104248
2.950759  0.124767
2.950785  0.138341
2.950811  0.144545
2.950838  0.148864
2.950864  0.145230
2.950890  0.129626
2.950918  0.112027
2.950943  0.099083
2.950970  0.106783
2.950996  0.117443
2.951022  0.109642
2.951048  0.099058
2.951075  0.104471
2.951109  0.118347
2.951143  0.129547
2.951169  0.126300
2.951195  0.127324
2.951222  0.129929
2.951248  0.123295
2.951275  0.122581
2.951301  0.126065
2.951327  0.132430
2.951353  0.138713
2.951380  0.142665
2.951406  0.140067
2.951433  0.127304
2.951459  0.126515
2.951485  0.137610
2.951512  0.137147
2.951538  0.132357
2.951565  0.131955
2.951591  0.131521
2.951617  0.137157
2.951644  0.145923
2.951670  0.147844
2.951696  0.145132
2.951729  0.136859
2.951760  0.132237
2.951787  0.121904
2.951813  0.111056
2.951840  0.116062
2.951867  0.129381
2.951893  0.129163
2.951919  0.110883
2.951945  0.104307
2.951972  0.110896
2.951998  0.109084
2.952024  0.104530
2.952051  0.104563
2.952077  0.114777
2.952104  0.112193
2.952131  0.088960
2.952156  0.081096
2.952183  0.103610
2.952209  0.124675
2.952235  0.133386
2.952262  0.134254
2.952296  0.134238
2.952330  0.128804
2.952356  0.120209
2.952383  0.118857
2.952409  0.112795
2.952436  0.114569
2.952462  0.122849
2.952489  0.121649
2.952515  0.117185
2.952541  0.118945
2.952568  0.120689
2.952594  0.125917
2.952620  0.126550
2.952647  0.113623
2.952673  0.109829
2.952700  0.118028
2.952726  0.125686
2.952753  0.130456
2.952779  0.133710
2.952806  0.139230
2.952832  0.144443
2.952858  0.139688
2.952885  0.131122
2.952912  0.121640
2.952938  0.110090
2.952964  0.109959
2.952991  0.118527
2.953017  0.123784
2.953050  0.124702
2.953081  0.130049
2.953108  0.123507
2.953134  0.109956
2.953161  0.100906
2.953187  0.105233
2.953213  0.116004
2.953241  0.118284
2.953266  0.118594
2.953293  0.115873
2.953320  0.099685
2.953346  0.088582
2.953372  0.097718
2.953399  0.105298
2.953425  0.104634
2.953452  0.099088
2.953478  0.083676
2.953504  0.074915
2.953531  0.078629
2.953557  0.082507
2.953591  0.072064
2.953626  0.052104
2.953652  0.045339
2.953678  0.039096
2.953705  0.031022
2.953726  0.025578
2.953753  0.014725
2.953779  0.005502
2.953811  0.001874
2.953837  0.000103
2.953864  -0.000476
2.953890  0.000069
2.953917  0.000369
2.953943  0.000552
2.953970  0.000799
2.953996  0.004002
2.954023  0.010828
2.954049  0.020517
2.954076  0.030754
2.954102  0.036126
2.954129  0.039166
2.954155  0.041280
2.954182  0.035935
2.954208  0.035266
2.954235  0.049143
2.954262  0.062608
2.954288  0.072917
2.954314  0.079507
2.954341  0.084172
2.954367  0.096306
2.954394  0.104771
2.954420  0.101713
2.954447  0.097493
2.954473  0.101908
2.954500  0.106480
2.954526  0.106996
2.954553  0.104148
2.954579  0.107247
2.954606  0.103531
2.954639  0.088165
2.954670  0.080065
2.954697  0.079230
2.954723  0.074041
