# ================================================================
# FITS HEADER INFO for GL555
# Extracted from: GL555_Lband2_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1459296  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 36472D  / 
# TDIM3      = (18236,2)  / 
# TTYPE4     = flux  / 
# TFORM4     = 36472D  / 
# TDIM4      = (18236,2)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 36472D  / 
# TDIM5      = (18236,2)  / 
# TTYPE6     = mask  / 
# TFORM6     = 36472K  / 
# TDIM6      = (18236,2)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 36472D  / 
# TDIM7      = (18236,2)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 1167583  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 36474D  / 
# TDIM3      = (18237,2)  / 
# TTYPE4     = flux  / 
# TFORM4     = 36474D  / 
# TDIM4      = (18237,2)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 36474D  / 
# TDIM5      = (18237,2)  / 
# TTYPE6     = mask  / 
# TFORM6     = 36474K  / 
# TDIM6      = (18237,2)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 156017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 3900D  / 
# TDIM2      = (1950,2)  / 
# TTYPE3     = flux  / 
# TFORM3     = 3900D  / 
# TDIM3      = (1950,2)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 3900D  / 
# TDIM4      = (1950,2)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 3900D  / 
# TDIM5      = (1950,2)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 3900D  / 
# TDIM6      = (1950,2)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
2.939162  -0.002082
2.939188  -0.002684
2.939214  0.002822
2.939240  0.000240
2.939342  0.047435
2.939367  0.051246
2.939393  0.051964
2.939419  0.054656
2.939444  0.052895
2.939470  0.053219
2.939496  0.053908
2.939521  0.052519
2.939555  0.051223
2.939586  0.049056
2.939603  0.041596
2.939773  0.047961
2.939792  0.054739
2.939823  0.049193
2.939855  0.050550
2.939881  0.051015
2.939907  0.053268
2.939932  0.055200
2.939958  0.053888
2.940064  0.022803
2.940152  0.046355
2.940177  0.045266
2.940203  0.043491
2.940229  0.043112
2.940255  0.045220
2.940309  0.052749
2.940332  0.059892
2.940360  0.063135
2.940411  0.042989
2.940435  0.035364
2.940461  0.039032
2.940487  0.044251
2.940512  0.047847
2.940545  0.049886
2.940575  0.048305
2.940601  0.049661
2.940632  0.046864
2.940666  0.045306
2.940692  0.057464
2.940717  0.067488
2.940744  0.065495
2.940795  0.057623
2.940821  0.054350
2.940873  0.066314
2.940898  0.068848
2.940924  0.065433
2.940950  0.059763
2.940976  0.057349
2.941001  0.059806
2.941027  0.063018
2.941053  0.061678
2.941079  0.059128
2.941105  0.055861
2.941130  0.055137
2.941156  0.054909
2.941190  0.053976
2.941222  0.055209
2.941247  0.056334
2.941273  0.056535
2.941304  0.058682
2.941340  0.045612
2.941388  0.042889
2.941418  0.053953
2.941440  0.054038
2.941466  0.057361
2.941492  0.055950
2.941517  0.051657
2.941543  0.048464
2.941569  0.049836
2.941595  0.055570
2.941621  0.061924
2.941646  0.062411
2.941668  0.064732
2.941698  0.053743
2.941724  0.047556
2.941757  0.044118
2.941787  0.041479
2.941815  0.048808
2.941841  0.054278
2.941867  0.056234
2.941893  0.058990
2.941919  0.056477
2.941945  0.051090
2.941977  0.044107
2.942022  0.021796
2.942054  0.024644
2.942086  0.035821
2.942112  0.040137
2.942140  0.045515
2.942164  0.049351
2.942189  0.053977
2.942215  0.059776
2.942241  0.064536
2.942267  0.069134
2.942293  0.071149
2.942319  0.071222
2.942344  0.070359
2.942377  0.067804
2.942410  0.063354
2.942436  0.061482
2.942462  0.057425
2.942488  0.058674
2.942514  0.061829
2.942540  0.058825
2.942566  0.056712
2.942591  0.059337
2.942617  0.057916
2.942643  0.051543
2.942669  0.050007
2.942695  0.056721
2.942721  0.057225
2.942748  0.051438
2.942774  0.041835
2.942799  0.040064
2.942824  0.045519
2.942850  0.051070
2.942883  0.055377
2.942914  0.054126
2.942940  0.051644
2.942966  0.049181
2.942992  0.048437
2.943018  0.047947
2.943049  0.045079
2.943084  0.041766
2.943109  0.036522
2.943133  0.027731
2.943159  0.020218
2.943185  0.014018
2.943211  0.008664
2.943239  0.005738
2.943265  0.002841
2.943291  0.001462
2.943317  0.000216
2.943343  -0.000347
2.943369  -0.000052
2.943395  0.000085
2.943421  -0.000452
2.943447  0.000029
2.943473  0.000178
2.943498  0.000553
2.943524  0.001757
2.943551  0.003841
2.943577  0.006930
2.943603  0.011471
2.943629  0.018707
2.943654  0.027151
2.943688  0.032738
2.943721  0.037564
2.943758  0.040113
2.943784  0.039394
2.943810  0.038191
2.943836  0.040342
2.943862  0.039359
2.943888  0.036451
2.943914  0.040879
2.943940  0.050920
2.943966  0.057260
2.943992  0.057246
2.944018  0.056468
2.944044  0.053807
2.944070  0.049467
