# ================================================================
# FITS HEADER INFO for GJ876
# Extracted from: GJ876_Yband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 4883096  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 122067D  / 
# TDIM3      = (13563,9)  / 
# TTYPE4     = flux  / 
# TFORM4     = 122067D  / 
# TDIM4      = (13563,9)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 122067D  / 
# TDIM5      = (13563,9)  / 
# TTYPE6     = mask  / 
# TFORM6     = 122067K  / 
# TDIM6      = (13563,9)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 122067D  / 
# TDIM7      = (13563,9)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 3906799  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 360A  / 
# TDIM2      = (8,45)  / 
# TTYPE3     = wave  / 
# TFORM3     = 122076D  / 
# TDIM3      = (13564,9)  / 
# TTYPE4     = flux  / 
# TFORM4     = 122076D  / 
# TDIM4      = (13564,9)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 122076D  / 
# TDIM5      = (13564,9)  / 
# TTYPE6     = mask  / 
# TFORM6     = 122076K  / 
# TDIM6      = (13564,9)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 702017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 17550D  / 
# TDIM2      = (1950,9)  / 
# TTYPE3     = flux  / 
# TFORM3     = 17550D  / 
# TDIM3      = (1950,9)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 17550D  / 
# TDIM4      = (1950,9)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 17550D  / 
# TDIM5      = (1950,9)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 17550D  / 
# TDIM6      = (1950,9)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
0.995440  0.001698
0.995484  1.850371
0.995494  2.054867
0.995503  2.098900
0.995512  2.084760
0.995520  2.139639
0.995530  2.138390
0.995539  2.124365
0.995547  2.111530
0.995556  2.080502
0.995565  2.046154
0.995574  2.057403
0.995588  2.049237
0.995601  2.054931
0.995610  2.074060
0.995619  2.072093
0.995628  2.051482
0.995637  2.018327
0.995646  1.998679
0.995655  1.933298
0.995664  1.790047
0.995673  1.674261
0.995682  1.798142
0.995691  1.947727
0.995700  2.016751
0.995709  2.010862
0.995718  2.002001
0.995732  1.814773
0.995745  1.745300
0.995754  1.913392
0.995763  1.965473
0.995772  1.976578
0.995781  2.006382
0.995790  2.015279
0.995799  2.021616
0.995808  2.049754
0.995817  2.049344
0.995826  2.032324
0.995835  2.050694
0.995844  2.077652
0.995853  2.106195
0.995862  2.122835
0.995871  2.122892
0.995880  2.100726
0.995894  2.101636
0.995908  2.049423
0.995917  2.053777
0.995926  2.010754
0.995935  1.829936
0.995943  1.645673
0.995953  1.634396
0.995962  1.604629
0.995971  1.613447
0.995980  1.800381
0.995989  1.926825
0.995998  2.023061
0.996007  2.045043
0.996016  2.023589
0.996025  2.029168
0.996034  2.058090
0.996048  2.079446
0.996061  2.067595
0.996070  2.051865
0.996079  2.028311
0.996088  1.935474
0.996097  1.774079
0.996106  1.677398
0.996115  1.786881
0.996124  1.921884
0.996133  1.984027
0.996142  2.011808
0.996151  2.036327
0.996161  2.062202
0.996170  2.079880
0.996179  2.059559
0.996188  2.056631
0.996197  2.068244
0.996210  2.076000
0.996224  2.059032
0.996233  2.099121
0.996242  2.108489
0.996251  2.124533
0.996260  2.110580
0.996269  2.026210
0.996278  1.884077
0.996287  1.700471
0.996296  1.768937
0.996305  1.955910
0.996315  2.011143
0.996324  2.001460
0.996333  1.991538
0.996342  1.986444
0.996351  1.959115
0.996360  1.903597
0.996369  1.725538
0.996383  1.534312
0.996396  1.538542
0.996405  1.611237
0.996414  1.743821
0.996423  1.765453
0.996432  1.746256
0.996442  1.780496
0.996451  1.888040
0.996460  1.884772
0.996469  1.820266
0.996478  1.858820
0.996487  1.942209
0.996496  1.930715
0.996505  1.879661
0.996514  1.795345
0.996523  1.817636
0.996532  1.958100
0.996541  2.048274
0.996555  2.084966
0.996569  2.105004
0.996578  2.090240
0.996587  2.086598
0.996596  2.084335
0.996605  2.100013
0.996614  2.089849
0.996623  2.083634
0.996632  2.092771
0.996641  2.075090
0.996650  2.091819
0.996660  2.121434
0.996669  2.128689
0.996678  2.110365
0.996687  2.098399
0.996696  2.045580
0.996705  2.065046
0.996714  2.039777
0.996723  1.973987
0.996737  1.987134
0.996751  2.006167
0.996760  2.039520
0.996769  2.064016
0.996778  2.024459
0.996787  2.052237
0.996796  2.029921
0.996805  2.069022
0.996815  2.071997
0.996824  2.107420
0.996833  2.095353
0.996842  2.108696
0.996851  2.140740
0.996860  2.112777
0.996869  2.066310
0.996878  2.041978
0.996888  2.057223
0.996897  2.059909
0.996906  1.958812
0.996919  1.949888
0.996933  2.022506
0.996942  2.099833
0.996951  2.114760
0.996961  2.130748
0.996970  2.126370
0.996979  2.112407
0.996988  2.070191
0.996997  2.008869
0.997006  2.038136
0.997015  2.044472
0.997024  2.011430
0.997034  1.936398
0.997043  1.947395
