# ================================================================
# FITS HEADER INFO for GL628
# Extracted from: GL628_Yband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 4883096  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 122067D  / 
# TDIM3      = (13563,9)  / 
# TTYPE4     = flux  / 
# TFORM4     = 122067D  / 
# TDIM4      = (13563,9)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 122067D  / 
# TDIM5      = (13563,9)  / 
# TTYPE6     = mask  / 
# TFORM6     = 122067K  / 
# TDIM6      = (13563,9)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 122067D  / 
# TDIM7      = (13563,9)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 3906815  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 376A  / 
# TDIM2      = (8,47)  / 
# TTYPE3     = wave  / 
# TFORM3     = 122076D  / 
# TDIM3      = (13564,9)  / 
# TTYPE4     = flux  / 
# TFORM4     = 122076D  / 
# TDIM4      = (13564,9)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 122076D  / 
# TDIM5      = (13564,9)  / 
# TTYPE6     = mask  / 
# TFORM6     = 122076K  / 
# TDIM6      = (13564,9)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 702017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 17550D  / 
# TDIM2      = (1950,9)  / 
# TTYPE3     = flux  / 
# TFORM3     = 17550D  / 
# TDIM3      = (1950,9)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 17550D  / 
# TDIM4      = (1950,9)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 17550D  / 
# TDIM5      = (1950,9)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 17550D  / 
# TDIM6      = (1950,9)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
0.995319  0.005620
0.995363  1.389455
0.995373  1.574107
0.995382  1.618191
0.995391  1.616587
0.995400  1.631050
0.995409  1.632502
0.995418  1.631569
0.995427  1.621781
0.995436  1.592132
0.995445  1.605565
0.995454  1.620862
0.995467  1.639198
0.995481  1.659319
0.995489  1.675636
0.995498  1.656223
0.995507  1.641518
0.995516  1.622072
0.995525  1.635439
0.995534  1.618080
0.995543  1.623925
0.995552  1.625659
0.995561  1.606131
0.995570  1.614532
0.995579  1.630503
0.995588  1.606126
0.995597  1.592303
0.995609  1.493991
0.995621  1.372757
0.995633  1.469263
0.995642  1.563162
0.995651  1.591857
0.995660  1.580091
0.995669  1.560078
0.995678  1.476227
0.995687  1.356766
0.995696  1.391717
0.995706  1.513892
0.995714  1.566474
0.995723  1.575138
0.995732  1.574372
0.995741  1.601465
0.995751  1.612354
0.995760  1.630884
0.995773  1.625220
0.995787  1.634720
0.995796  1.658590
0.995805  1.649021
0.995814  1.663775
0.995823  1.663400
0.995832  1.638123
0.995841  1.610847
0.995850  1.640817
0.995859  1.630223
0.995868  1.613239
0.995877  1.558491
0.995886  1.411859
0.995895  1.295778
0.995904  1.312008
0.995913  1.245251
0.995922  1.281294
0.995936  1.490328
0.995949  1.573627
0.995958  1.586048
0.995967  1.560290
0.995976  1.597506
0.995985  1.586985
0.995994  1.616005
0.996003  1.629910
0.996012  1.647622
0.996021  1.622894
0.996030  1.595659
0.996040  1.505295
0.996049  1.355478
0.996058  1.337596
0.996067  1.438378
0.996076  1.519607
0.996088  1.571308
0.996100  1.614077
0.996112  1.634213
0.996121  1.611653
0.996130  1.589651
0.996139  1.596067
0.996148  1.606526
0.996157  1.606347
0.996166  1.617544
0.996175  1.627679
0.996184  1.654559
0.996194  1.671786
0.996203  1.659857
0.996212  1.626762
0.996221  1.579164
0.996230  1.446557
0.996239  1.318815
0.996248  1.403229
0.996260  1.541738
0.996272  1.592032
0.996284  1.586990
0.996293  1.569862
0.996302  1.551057
0.996311  1.496958
0.996321  1.352407
0.996330  1.233810
0.996339  1.253788
0.996348  1.298442
0.996357  1.384095
0.996366  1.438161
0.996375  1.423692
0.996384  1.406952
0.996393  1.439870
0.996402  1.511574
0.996411  1.490373
0.996420  1.448233
0.996432  1.492811
0.996445  1.504740
0.996457  1.476855
0.996466  1.425590
0.996475  1.434254
0.996484  1.531589
0.996493  1.610060
0.996502  1.630052
0.996511  1.633647
0.996520  1.644254
0.996530  1.637418
0.996539  1.632880
0.996548  1.652503
0.996557  1.647664
0.996566  1.627470
0.996575  1.613021
0.996584  1.620629
0.996593  1.633055
0.996602  1.635589
0.996614  1.634825
0.996627  1.624675
0.996639  1.632310
0.996648  1.618098
0.996657  1.601443
0.996666  1.570215
0.996675  1.536260
0.996684  1.559373
0.996693  1.563674
0.996703  1.590643
0.996712  1.596282
0.996721  1.604392
0.996730  1.617665
0.996739  1.605851
0.996748  1.608098
0.996757  1.616201
0.996766  1.647399
0.996776  1.656081
0.996785  1.640369
0.996796  1.662860
0.996803  1.645428
0.996817  1.614077
0.996830  1.589463
0.996839  1.596554
0.996848  1.584776
0.996858  1.543957
0.996867  1.507115
0.996876  1.539116
0.996885  1.597993
0.996894  1.621036
0.996903  1.639544
0.996912  1.646307
0.996922  1.653859
0.996931  1.610291
0.996940  1.587303
0.996949  1.575933
0.996958  1.574823
0.996967  1.570214
0.996976  1.561011
0.996986  1.515963
0.996998  1.552861
0.997010  1.571645
0.997022  1.448487
0.997031  1.364687
0.997041  1.456955
0.997050  1.570555
0.997059  1.589332
0.997067  1.587297
0.997078  1.581773
0.997086  1.589225
0.997095  1.574043
0.997105  1.604604
0.997114  1.602793
0.997123  1.617403
0.997132  1.629915
0.997141  1.622136
0.997150  1.594151
0.997160  1.572604
0.997169  1.570240
0.997178  1.539165
0.997187  1.426438
0.997196  1.250929
0.997210  1.201325
0.997224  1.453343
0.997233  1.506369
0.997242  1.412435
0.997251  1.353135
0.997260  1.442358
0.997269  1.571931
0.997279  1.618826
0.997288  1.628734
0.997297  1.609571
0.997306  1.579768
0.997315  1.471159
0.997325  1.327132
0.997334  1.398479
0.997343  1.531607
0.997352  1.584274
0.997361  1.599902
0.997370  1.590610
0.997380  1.529499
0.997389  1.415795
0.997398  1.395702
0.997407  1.527368
0.997419  1.617002
0.997432  1.622213
0.997444  1.609305
0.997453  1.576835
0.997462  1.511425
0.997471  1.411306
0.997481  1.474709
0.997490  1.566701
0.997499  1.547286
0.997508  1.432121
0.997517  1.343800
0.997527  1.450786
0.997536  1.583813
0.997545  1.604174
0.997554  1.613508
0.997563  1.640639
0.997572  1.630808
0.997582  1.625418
0.997591  1.561656
0.997600  1.424988
0.997609  1.338362
0.997618  1.349777
0.997628  1.417237
0.997640  1.556398
0.997652  1.590200
0.997665  1.590611
0.997674  1.611879
0.997683  1.647587
0.997692  1.662962
0.997701  1.656930
0.997711  1.624853
0.997720  1.635438
0.997729  1.631610
0.997738  1.620388
0.997747  1.552535
0.997757  1.429157
0.997766  1.284839
0.997775  1.352083
0.997784  1.484707
0.997794  1.554216
0.997803  1.602691
0.997812  1.616434
0.997821  1.602580
0.997830  1.589852
0.997840  1.552167
0.997849  1.416497
0.997858  1.328994
0.997867  1.389179
0.997880  1.462478
0.997892  1.523809
0.997904  1.602984
0.997913  1.632958
0.997923  1.653389
0.997932  1.657352
0.997941  1.667289
0.997950  1.649871
0.997960  1.628082
0.997969  1.612173
0.997978  1.606017
0.997987  1.603432
0.997997  1.629453
0.998006  1.648492
0.998015  1.671585
0.998024  1.685614
0.998033  1.679322
0.998043  1.662461
0.998052  1.638594
0.998061  1.599151
0.998070  1.539640
0.998080  1.448387
0.998089  1.346879
0.998098  1.418144
0.998107  1.547970
0.998117  1.594721
0.998129  1.553732
0.998141  1.550805
0.998154  1.623894
0.998163  1.633690
0.998172  1.608166
0.998181  1.617820
0.998191  1.522114
0.998200  1.366369
0.998209  1.359169
0.998218  1.532620
0.998228  1.628426
0.998237  1.634378
0.998246  1.614855
0.998255  1.585259
0.998265  1.613512
0.998274  1.631715
0.998283  1.637040
0.998293  1.667521
0.998302  1.647944
0.998311  1.599630
0.998320  1.574409
0.998330  1.572004
0.998339  1.596813
0.998348  1.601646
0.998357  1.602302
0.998367  1.629248
0.998376  1.627200
0.998385  1.620779
0.998397  1.648193
0.998410  1.644711
0.998422  1.623651
0.998432  1.603050
0.998441  1.570080
0.998450  1.600457
0.998459  1.616931
0.998469  1.611411
0.998478  1.649692
0.998487  1.648400
0.998497  1.637370
0.998506  1.629637
0.998515  1.607791
0.998524  1.533931
0.998534  1.361176
0.998543  1.225586
0.998552  1.171908
0.998561  1.214261
0.998571  1.119293
0.998580  1.135728
0.998589  1.288097
0.998599  1.369256
0.998608  1.500065
