# ================================================================
# FITS HEADER INFO for GL745A
# Extracted from: GL745A_Yband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 4883096  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 122067D  / 
# TDIM3      = (13563,9)  / 
# TTYPE4     = flux  / 
# TFORM4     = 122067D  / 
# TDIM4      = (13563,9)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 122067D  / 
# TDIM5      = (13563,9)  / 
# TTYPE6     = mask  / 
# TFORM6     = 122067K  / 
# TDIM6      = (13563,9)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 122067D  / 
# TDIM7      = (13563,9)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 3905695  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 122040D  / 
# TDIM3      = (13560,9)  / 
# TTYPE4     = flux  / 
# TFORM4     = 122040D  / 
# TDIM4      = (13560,9)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 122040D  / 
# TDIM5      = (13560,9)  / 
# TTYPE6     = mask  / 
# TFORM6     = 122040K  / 
# TDIM6      = (13560,9)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 702017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 17550D  / 
# TDIM2      = (1950,9)  / 
# TTYPE3     = flux  / 
# TFORM3     = 17550D  / 
# TDIM3      = (1950,9)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 17550D  / 
# TDIM4      = (1950,9)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 17550D  / 
# TDIM5      = (1950,9)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 17550D  / 
# TDIM6      = (1950,9)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
0.995377  0.008371
0.995392  0.001506
0.995401  0.000181
0.995450  0.514951
0.995459  0.497248
0.995468  0.504935
0.995477  0.512680
0.995486  0.503509
0.995495  0.503912
0.995504  0.503418
0.995513  0.503993
0.995524  0.498056
0.995536  0.505161
0.995547  0.498770
0.995556  0.504524
0.995565  0.507426
0.995575  0.504566
0.995585  0.504089
0.995594  0.506564
0.995603  0.507103
0.995612  0.501542
0.995621  0.504886
0.995630  0.508283
0.995639  0.501278
0.995648  0.507676
0.995657  0.506941
0.995668  0.496660
0.995678  0.505039
0.995687  0.496003
0.995698  0.487382
0.995710  0.495038
0.995719  0.494306
0.995728  0.501615
0.995737  0.497470
0.995748  0.499716
0.995757  0.490602
0.995766  0.482178
0.995775  0.466962
0.995784  0.460409
0.995793  0.483322
0.995802  0.493116
0.995811  0.498486
0.995820  0.495366
0.995830  0.493665
0.995840  0.487878
0.995849  0.492513
0.995861  0.485175
0.995872  0.481155
0.995881  0.498621
0.995891  0.504705
0.995901  0.502177
0.995910  0.503911
0.995919  0.499298
0.995928  0.506197
0.995938  0.499172
0.995947  0.507038
0.995956  0.505320
0.995965  0.503206
0.995975  0.511347
0.995985  0.513509
0.995994  0.503887
0.996003  0.503571
0.996012  0.498467
0.996021  0.505648
0.996033  0.511305
0.996044  0.500540
0.996054  0.489346
0.996065  0.495110
0.996073  0.471905
0.996082  0.473328
0.996092  0.477406
0.996101  0.487438
0.996110  0.499054
0.996119  0.514613
0.996128  0.507979
0.996138  0.498860
0.996148  0.503304
0.996157  0.513775
0.996166  0.508976
0.996175  0.508937
0.996185  0.516183
0.996194  0.508091
0.996205  0.505134
0.996217  0.491516
0.996226  0.486350
0.996237  0.492738
0.996246  0.495295
0.996255  0.507702
0.996264  0.509718
0.996273  0.511348
0.996282  0.512395
0.996291  0.510592
0.996300  0.508476
0.996311  0.503486
0.996321  0.497619
0.996330  0.502533
0.996339  0.509453
0.996348  0.505006
0.996357  0.508757
0.996366  0.508031
0.996375  0.507662
0.996387  0.507900
0.996399  0.493012
0.996409  0.483881
0.996418  0.482909
0.996428  0.487743
0.996437  0.500244
0.996446  0.504442
0.996455  0.501061
0.996464  0.517884
0.996473  0.503094
0.996482  0.501841
0.996493  0.472333
0.996503  0.464530
0.996512  0.443128
0.996520  0.406125
0.996530  0.446699
0.996539  0.476554
0.996548  0.493492
0.996557  0.494678
0.996568  0.501492
0.996580  0.500118
0.996591  0.499733
0.996601  0.500449
0.996610  0.505181
0.996619  0.505409
0.996628  0.502956
0.996637  0.495874
0.996646  0.499703
0.996655  0.501805
0.996665  0.511012
0.996676  0.504706
0.996685  0.510771
0.996694  0.507957
0.996703  0.511104
0.996712  0.514089
0.996721  0.509828
0.996731  0.510360
0.996740  0.510700
0.996749  0.513406
0.996761  0.513338
0.996774  0.517349
0.996783  0.518290
0.996792  0.526946
0.996801  0.520894
0.996810  0.522848
0.996819  0.513513
0.996829  0.516512
0.996838  0.513590
0.996847  0.507195
0.996857  0.510277
0.996867  0.508330
0.996877  0.511215
0.996886  0.509538
0.996895  0.511852
0.996904  0.510356
0.996913  0.515151
0.996922  0.512892
0.996931  0.510836
0.996941  0.515051
0.996951  0.515177
0.996963  0.519721
0.996975  0.521126
0.996984  0.524903
0.996993  0.522102
