# ================================================================
# FITS HEADER INFO for HD164259
# Extracted from: HD164259_Yband_tellcorr_opt.fits
# ---------------------------------------------------------------
# --- Header from HDU[0] ---
# SIMPLE     = True  / conforms to FITS standard
# BITPIX     = 8  / array data type
# NAXIS      = 0  / number of array dimensions
# EXTEND     = True  / 
# ---------------------------------------------------------------
# --- Header from HDU[1] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 4883096  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 7  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 8A  / 
# TTYPE2     = header  / 
# TFORM2     = 408A  / 
# TDIM2      = (8,51)  / 
# TTYPE3     = wave  / 
# TFORM3     = 122067D  / 
# TDIM3      = (13563,9)  / 
# TTYPE4     = flux  / 
# TFORM4     = 122067D  / 
# TDIM4      = (13563,9)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 122067D  / 
# TDIM5      = (13563,9)  / 
# TTYPE6     = mask  / 
# TFORM6     = 122067K  / 
# TDIM6      = (13563,9)  / 
# TTYPE7     = cont_fit  / 
# TFORM7     = 122067D  / 
# TDIM7      = (13563,9)  / 
# ---------------------------------------------------------------
# --- Header from HDU[2] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 3907391  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 7A  / 
# TTYPE2     = header  / 
# TFORM2     = 376A  / 
# TDIM2      = (8,47)  / 
# TTYPE3     = wave  / 
# TFORM3     = 122094D  / 
# TDIM3      = (13566,9)  / 
# TTYPE4     = flux  / 
# TFORM4     = 122094D  / 
# TDIM4      = (13566,9)  / 
# TTYPE5     = ivar  / 
# TFORM5     = 122094D  / 
# TDIM5      = (13566,9)  / 
# TTYPE6     = mask  / 
# TFORM6     = 122094K  / 
# TDIM6      = (13566,9)  / 
# ---------------------------------------------------------------
# --- Header from HDU[3] ---
# XTENSION   = BINTABLE  / binary table extension
# BITPIX     = 8  / array data type
# NAXIS      = 2  / number of array dimensions
# NAXIS1     = 702017  / length of dimension 1
# NAXIS2     = 1  / length of dimension 2
# PCOUNT     = 0  / number of group parameters
# GCOUNT     = 1  / number of groups
# TFIELDS    = 6  / number of table fields
# TTYPE1     = obj type  / 
# TFORM1     = 17A  / 
# TTYPE2     = wave  / 
# TFORM2     = 17550D  / 
# TDIM2      = (1950,9)  / 
# TTYPE3     = flux  / 
# TFORM3     = 17550D  / 
# TDIM3      = (1950,9)  / 
# TTYPE4     = ivar  / 
# TFORM4     = 17550D  / 
# TDIM4      = (1950,9)  / 
# TTYPE5     = tell_spec  / 
# TFORM5     = 17550D  / 
# TDIM5      = (1950,9)  / 
# TTYPE6     = cont_fit  / 
# TFORM6     = 17550D  / 
# TDIM6      = (1950,9)  / 
# ---------------------------------------------------------------
# ================================================================
# Wavelength (microns)    Flux (scaled by 1e5)
# ---------------------------------------------------------------
0.995369  0.008590
0.995414  18.185647
0.995423  18.987767
0.995432  18.953179
0.995441  18.816444
0.995450  18.825876
0.995459  18.863466
0.995468  18.976643
0.995477  18.954523
0.995486  18.905509
0.995495  18.826789
0.995504  18.710617
0.995516  18.883557
0.995528  18.829757
0.995540  18.845396
0.995549  18.796721
0.995558  18.853254
0.995567  18.942067
0.995576  18.802604
0.995585  18.811113
0.995594  18.809776
0.995603  18.845954
0.995612  18.833450
0.995621  18.947001
0.995630  18.701135
0.995639  18.674448
0.995648  18.699626
0.995657  18.696864
0.995666  18.650775
0.995678  18.400956
0.995690  18.488257
0.995702  18.533677
0.995711  18.611213
0.995720  18.488997
0.995729  18.572116
0.995738  18.633571
0.995747  18.601554
0.995756  18.630122
0.995765  18.778506
0.995775  18.473821
0.995784  18.681072
0.995793  18.771046
0.995802  18.733082
0.995811  18.720067
0.995820  18.714506
0.995829  18.791618
0.995841  18.625247
0.995853  18.575619
0.995865  18.647053
0.995874  18.594757
0.995883  18.599589
0.995892  18.520557
0.995901  18.643662
0.995910  18.564645
0.995919  18.752163
0.995928  18.648429
0.995937  18.759644
0.995946  18.771605
0.995955  18.680486
0.995964  18.713682
0.995974  18.515032
0.995983  18.606968
0.995992  18.581683
0.996004  18.619313
0.996016  18.642592
0.996028  18.810656
0.996037  18.719612
0.996046  18.668372
0.996055  18.599931
0.996064  18.585562
0.996073  18.612064
0.996082  18.608207
0.996091  18.483323
0.996100  18.648064
0.996109  18.620391
0.996119  18.576194
0.996128  18.642885
0.996137  18.477439
0.996146  18.509708
0.996155  18.644244
0.996164  18.667824
0.996176  18.736596
0.996188  18.855508
0.996200  18.777316
0.996209  18.726476
0.996218  18.679884
0.996227  18.568277
0.996236  18.646656
0.996246  18.592815
0.996255  18.740482
0.996264  18.529362
0.996273  18.510230
0.996282  18.562156
0.996291  18.458740
0.996300  18.425213
0.996309  18.424848
0.996318  18.538033
0.996327  18.630008
0.996336  18.599015
0.996345  18.544320
0.996359  18.568132
0.996373  18.565165
0.996382  18.450103
0.996391  18.652657
0.996400  18.587667
0.996409  18.731122
0.996418  18.657101
0.996427  18.669873
0.996436  18.693429
0.996446  18.555652
0.996455  18.529674
0.996464  18.573258
0.996473  18.554355
0.996482  18.533397
0.996491  18.446343
0.996500  18.312660
0.996509  18.349480
0.996518  18.579817
0.996527  18.613991
0.996540  18.509311
0.996552  18.640555
0.996564  18.889844
0.996573  18.904818
0.996582  18.827129
0.996591  18.821886
0.996600  18.681779
0.996609  18.865365
0.996619  18.676913
0.996628  18.574859
0.996637  18.684208
0.996646  18.721049
0.996655  18.724081
0.996664  18.446274
0.996673  18.556964
0.996682  18.393880
0.996691  18.331626
0.996701  18.361320
0.996710  18.405454
0.996722  18.429311
0.996734  18.548206
0.996746  18.636921
0.996755  18.921235
0.996765  18.839350
0.996774  18.701710
0.996783  18.712833
0.996792  18.892751
0.996801  18.753964
0.996810  18.720053
0.996819  18.752289
0.996828  18.688516
0.996837  18.463407
0.996847  18.686114
0.996856  18.403792
0.996865  18.603692
0.996874  18.563962
0.996883  18.446366
0.996892  18.531813
0.996901  18.713073
0.996911  18.599296
0.996923  18.440198
0.996935  18.608665
0.996947  18.587626
0.996956  18.466724
0.996965  18.602744
0.996975  18.637651
